href,text
https://www.olympedia.org/results/18000962,"Half-Lightweight (≤66 kilograms), Men"
https://www.olympedia.org/results/18001004,"Lightweight (≤73 kilograms), Men"
https://www.olympedia.org/results/18001046,"Half-Middleweight (≤81 kilograms), Men"
https://www.olympedia.org/results/18001088,"Middleweight (≤90 kilograms), Men"
https://www.olympedia.org/results/18001130,"Half-Heavyweight (≤100 kilograms), Men"
https://www.olympedia.org/results/18001172,"Heavyweight (>100 kilograms), Men"
https://www.olympedia.org/results/18001214,"Extra-Lightweight (≤48 kilograms), Women"
https://www.olympedia.org/results/18001256,"Half-Lightweight (≤52 kilograms), Women"
https://www.olympedia.org/results/18001298,"Lightweight (≤57 kilograms), Women"
https://www.olympedia.org/results/18001340,"Half-Middleweight (≤63 kilograms), Women"
https://www.olympedia.org/results/18001382,"Middleweight (≤70 kilograms), Women"
https://www.olympedia.org/results/18001424,"Half-Heavyweight (≤78 kilograms), Women"
https://www.olympedia.org/results/18001466,"Heavyweight (>78 kilograms), Women"
https://www.olympedia.org/results/18000780,"Team, Mixed"
https://www.olympedia.org/editions/61/sports/KTE,Karate
https://www.olympedia.org/results/18000100,"Kata, Men"
https://www.olympedia.org/results/18000130,"Kumite, ≤67 kg, Men"
https://www.olympedia.org/results/18000159,"Kumite, ≤75 kg, Men"
https://www.olympedia.org/results/18000188,"Kumite, >75 kg, Men"
https://www.olympedia.org/results/18000115,"Kata, Women"
https://www.olympedia.org/results/18000217,"Kumite, ≤55 kg, Women"
https://www.olympedia.org/results/18000246,"Kumite, ≤61 kg, Women"
https://www.olympedia.org/results/18000275,"Kumite, >61 kg, Women"
https://www.olympedia.org/editions/61/sports/OWS,Marathon Swimming
https://www.olympedia.org/results/19000336,"10 kilometres Open Water, Men"
https://www.olympedia.org/results/19000337,"10 kilometres Open Water, Women"
https://www.olympedia.org/editions/61/sports/MPN,Modern Pentathlon
https://www.olympedia.org/results/19002500,"Individual, Men"
https://www.olympedia.org/results/19003172,"Individual, Women"
https://www.olympedia.org/editions/61/sports/GRY,Rhythmic Gymnastics
https://www.olympedia.org/results/19001950,"Individual, Women"
https://www.olympedia.org/results/19001961,"Group, Women"
https://www.olympedia.org/editions/61/sports/ROW,Rowing
https://www.olympedia.org/results/19008400,"Single Sculls, Men"
https://www.olympedia.org/results/19008433,"Double Sculls, Men"
https://www.olympedia.org/results/19008446,"Quadruple Sculls, Men"
https://www.olympedia.org/results/19008455,"Coxless Pairs, Men"
https://www.olympedia.org/results/19008468,"Coxless Fours, Men"
https://www.olympedia.org/results/19008478,"Eights, Men"
https://www.olympedia.org/results/19008486,"Lightweight Double Sculls, Men"
https://www.olympedia.org/results/19008504,"Single Sculls, Women"
https://www.olympedia.org/results/19008537,"Double Sculls, Women"
https://www.olympedia.org/results/19008550,"Quadruple Sculls, Women"
https://www.olympedia.org/results/19008559,"Coxless Pairs, Women"
https://www.olympedia.org/results/19008572,"Coxless Fours, Women"
https://www.olympedia.org/results/19008581,"Eights, Women"
https://www.olympedia.org/results/19008589,"Lightweight Double Sculls, Women"
