Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal
"Edward Patrick Francis ""Eddie"" Eagan",United States,USA,Summer,1920,Antwerpen,Boxing,Boxing Men'S Light-Heavyweight,Gold
"Athol John ""Joe"" Earl",New Zealand,NZL,Summer,1972,Munich,Rowing,Rowing Men'S Coxed Eights,Gold
"Athol John ""Joe"" Earl",New Zealand,NZL,Summer,1976,Montreal,Rowing,Rowing Men'S Coxed Eights,Bronze
Sebastian Earl,Great Britain,GBR,Summer,1920,Antwerpen,Rowing,Rowing Men'S Coxed Eights,Silver
William Merrill Eastcott,Canada,CAN,Summer,1908,London,Shooting,"Shooting Men'S Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Bronze
Peter Easte,Great Britain,GBR,Summer,1908,London,Shooting,"Shooting Men'S Trap, Team",Gold
Paul Robert Easter,Great Britain,GBR,Summer,1984,Los Angeles,Swimming,Swimming Men'S 4 X 200 Metres Freestyle Relay,Bronze
Gladys Shirley Eastlake-Smith (-Lamplough),Great Britain,GBR,Summer,1908,London,Tennis,"Tennis Women'S Singles, Covered Courts",Gold
"Benjamin Bangs ""Ben"" Eastman",United States,USA,Summer,1932,Los Angeles,Athletics,Athletics Men'S 400 Metres,Silver
Ivan Leclare Eastman,United States,USA,Summer,1908,London,Shooting,"Shooting Men'S Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Gold
Earl Hamilton Richard Eastwood,Canada,CAN,Summer,1932,Los Angeles,Rowing,Rowing Men'S Coxed Eights,Bronze
Ashton James Eaton,United States,USA,Summer,2012,London,Athletics,Athletics Men'S Decathlon,Gold
Ashton James Eaton,United States,USA,Summer,2016,Rio De Janeiro,Athletics,Athletics Men'S Decathlon,Gold
Wilberforce Vaughan Eaves,Great Britain,GBR,Summer,1908,London,Tennis,Tennis Men'S Singles,Bronze
Yukiko Ebata,Japan,JPN,Summer,2012,London,Volleyball,Volleyball Women'S Volleyball,Bronze
Ernest Walter Ebbage,K Division Metropolitan Police Team,GBR,Summer,1908,London,Tug-Of-War,Tug-Of-War Men'S Tug-Of-War,Bronze
Eskild Balschmidt Ebbesen,Denmark,DEN,Summer,1996,Atlanta,Rowing,Rowing Men'S Lightweight Coxless Fours,Gold
Eskild Balschmidt Ebbesen,Denmark,DEN,Summer,2000,Sydney,Rowing,Rowing Men'S Lightweight Coxless Fours,Bronze
