Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal
Keltie Mayken Duggan (-Graboski),Canada,CAN,Summer,1988,Seoul,Swimming,Swimming Women'S 4 X 100 Metres Medley Relay,Bronze
Luis Jorge Duggan Ham,Argentina,ARG,Summer,1936,Berlin,Polo,Polo Men'S Polo,Gold
Dmitry Yevgenyevich Dugin,Russia,RUS,Summer,2000,Sydney,Water Polo,Water Polo Men'S Water Polo,Silver
John Alexander Duha,"Central Turnverein, Chicago",USA,Summer,1904,St. Louis,Gymnastics,Gymnastics Men'S Team All-Around,Bronze
John Alexander Duha,United States,USA,Summer,1904,St. Louis,Gymnastics,Gymnastics Men'S Parallel Bars,Bronze
Uwe Dhring,East Germany,GDR,Summer,1980,Moskva,Rowing,Rowing Men'S Coxed Eights,Gold
Karl Duill,Germany,GER,Summer,1900,Paris,Cycling,Cycling Men'S Points Race,Silver
Charlotte Susan Jane Dujardin,Great Britain,GBR,Summer,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
Charlotte Susan Jane Dujardin,Great Britain,GBR,Summer,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Charlotte Susan Jane Dujardin,Great Britain,GBR,Summer,2016,Rio De Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold
Charlotte Susan Jane Dujardin,Great Britain,GBR,Summer,2016,Rio De Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
Paul Lon Auguste Louis Joseph Dujardin,France,FRA,Summer,1924,Paris,Water Polo,Water Polo Men'S Water Polo,Gold
Paul Lon Auguste Louis Joseph Dujardin,France,FRA,Summer,1928,Amsterdam,Water Polo,Water Polo Men'S Water Polo,Bronze
Mikho Ivanov Dukov,Bulgaria,BUL,Summer,1980,Moskva,Wrestling,"Wrestling Men'S Featherweight, Freestyle",Silver
Yevgeny Vasilyevich Duleyev,Soviet Union,URS,Summer,1976,Montreal,Rowing,Rowing Men'S Quadruple Sculls,Silver
Henri Joseph Marie Dulieux,France,FRA,Summer,1936,Berlin,Fencing,"Fencing Men'S Epee, Team",Bronze
Gayle Albert Dull,United States,USA,Summer,1908,London,Athletics,"Athletics Men'S 3 Mile, Team",Silver
Troy Matthew Bek Dumais,United States,USA,Summer,2012,London,Diving,Diving Men'S Synchronized Springboard,Bronze
Laureniu Dumnoiu,Romania,ROU,Summer,1980,Moskva,Volleyball,Volleyball Men'S Volleyball,Bronze
"Charles Everett ""Charlie"" Dumas",United States,USA,Summer,1956,Melbourne,Athletics,Athletics Men'S High Jump,Gold
Nino Dumbadze (-Diachk'Ovi),Soviet Union,URS,Summer,1952,Helsinki,Athletics,Athletics Women'S Discus Throw,Bronze
Aleksandr Andreyevich Dumchev,Soviet Union,URS,Summer,1988,Seoul,Rowing,Rowing Men'S Coxed Eights,Silver
Cline Dumerc,France,FRA,Summer,2012,London,Basketball,Basketball Women'S Basketball,Silver
Maria Magdalena Dumitrache,Romania,ROU,Summer,2000,Sydney,Rowing,Rowing Women'S Coxed Eights,Gold
Constantin Dumitrescu,Romania,ROU,Summer,1956,Melbourne,Boxing,Boxing Men'S Light-Welterweight,Bronze
Daniel Dumitrescu,Romania,ROU,Summer,1988,Seoul,Boxing,Boxing Men'S Featherweight,Silver
Ion Dumitrescu,Romania,ROU,Summer,1960,Roma,Shooting,Shooting Men'S Trap,Gold
Rare Dumitrescu,Romania,ROU,Summer,2012,London,Fencing,"Fencing Men'S Sabre, Team",Silver
Roxana Daniela Dumitrescu (-Toader),Romania,ROU,Summer,1992,Barcelona,Fencing,"Fencing Women'S Foil, Team",Bronze
Alexe Dumitru,Romania,ROU,Summer,1956,Melbourne,Canoeing,"Canoeing Men'S Canadian Doubles, 1,000 Metres",Gold
Alina Alexandra Dumitru (-Croitoru),Romania,ROU,Summer,2008,Beijing,Judo,Judo Women'S Extra-Lightweight,Gold
Alina Alexandra Dumitru (-Croitoru),Romania,ROU,Summer,2012,London,Judo,Judo Women'S Extra-Lightweight,Silver
Marian Dumitru,Romania,ROU,Summer,1980,Moskva,Handball,Handball Men'S Handball,Bronze
Marian Dumitru,Romania,ROU,Summer,1984,Los Angeles,Handball,Handball Men'S Handball,Bronze
Petre Dumitru,Romania,ROU,Summer,1984,Los Angeles,Weightlifting,Weightlifting Men'S Middle-Heavyweight,Silver
Viorica Dumitru,Romania,ROU,Summer,1968,Mexico City,Canoeing,"Canoeing Women'S Kayak Singles, 500 Metres",Bronze
Viorica Dumitru,Romania,ROU,Summer,1972,Munich,Canoeing,"Canoeing Women'S Kayak Doubles, 500 Metres",Bronze
Frank Dummerth,Western Rowing Club,USA,Summer,1904,St. Louis,Rowing,Rowing Men'S Coxless Fours,Bronze
Robert Dumontois,France,FRA,Summer,1960,Roma,Rowing,Rowing Men'S Coxed Fours,Silver
Franck Dumoulin,France,FRA,Summer,2000,Sydney,Shooting,"Shooting Men'S Air Pistol, 10 Metres",Gold
Tom Dumoulin,Netherlands,NED,Summer,2016,Rio De Janeiro,Cycling,Cycling Men'S Individual Time Trial,Silver
Antal Dunai (Dujmov),Hungary,HUN,Summer,1968,Mexico City,Football,Football Men'S Football,Gold
Antal Dunai (Dujmov),Hungary,HUN,Summer,1972,Munich,Football,Football Men'S Football,Silver
Ede Dunai,Hungary,HUN,Summer,1972,Munich,Football,Football Men'S Football,Silver
Jnos Dunai (Dujmov),Hungary,HUN,Summer,1960,Roma,Football,Football Men'S Football,Bronze
Lajos Dunai (Drestyk-),Hungary,HUN,Summer,1968,Mexico City,Football,Football Men'S Football,Gold
Bernard Dunand,Switzerland,SUI,Summer,1968,Mexico City,Sailing,Sailing Mixed 5.5 Metres,Silver
Adriana Vladimirova Dunavska,Bulgaria,BUL,Summer,1988,Seoul,Rhythmic Gymnastics,Rhythmic Gymnastics Women'S Individual,Silver
Vitaly Vladimirovich Dunaytsev,Russia,RUS,Summer,2016,Rio De Janeiro,Boxing,Boxing Men'S Light-Welterweight,Bronze
"James Ralph ""Jim"" Dunbar",United States,USA,Summer,1952,Helsinki,Rowing,Rowing Men'S Coxed Eights,Gold
Rodica Dunca (-Kszegi),Romania,ROU,Summer,1980,Moskva,Gymnastics,Gymnastics Women'S Team All-Around,Silver
"James Henry ""Jim"" Duncan",United States,USA,Summer,1912,Stockholm,Athletics,Athletics Men'S Discus Throw,Bronze
"Timothy Theodore ""Tim"" Duncan",United States,USA,Summer,2004,Athina,Basketball,Basketball Men'S Basketball,Bronze
"John Vinzenz Andrew De Villiers ""Vincent"" Duncker",Germany,GER,Summer,1906,Athina,Athletics,Athletics Men'S 110 Metres Hurdles,Bronze
Frank Dundr (Butz-),East Germany,GDR,Summer,1980,Moskva,Rowing,Rowing Men'S Quadruple Sculls,Gold
"Leszek Ryszard ""Lech"" Dunecki",Poland,POL,Summer,1980,Moskva,Athletics,Athletics Men'S 4 X 100 Metres Relay,Silver
Krasimir Nikolaev Dunev,Bulgaria,BUL,Summer,1996,Atlanta,Gymnastics,Gymnastics Men'S Horizontal Bar,Silver
"Carlos Caetano ""Dunga"" Bledorn Verri",Brazil,BRA,Summer,1984,Los Angeles,Football,Football Men'S Football,Silver
Nancy Lynn Dunkle,United States,USA,Summer,1976,Montreal,Basketball,Basketball Women'S Basketball,Silver
Fitzroy Junior Dunkley,Jamaica,JAM,Summer,2016,Rio De Janeiro,Athletics,Athletics Men'S 4 X 400 Metres Relay,Silver
Joshua Dunkley-Smith,Australia,AUS,Summer,2012,London,Rowing,Rowing Men'S Coxless Fours,Silver
Joshua Dunkley-Smith,Australia,AUS,Summer,2016,Rio De Janeiro,Rowing,Rowing Men'S Coxless Fours,Silver
"David Coombs ""Dave"" Dunlap",United States,USA,Summer,1932,Los Angeles,Rowing,Rowing Men'S Coxed Eights,Gold
David Dunlop,Hera,GBR,Summer,1908,London,Sailing,Sailing Mixed 12 Metres,Gold
Gordon Glover Dunn,United States,USA,Summer,1936,Berlin,Athletics,Athletics Men'S Discus Throw,Silver
Velma Clancy Dunn (-Ploessel),United States,USA,Summer,1936,Berlin,Diving,Diving Women'S Platform,Silver
David Michael Dunne,Great Britain,GBR,Summer,1976,Montreal,Swimming,Swimming Men'S 4 X 200 Metres Freestyle Relay,Bronze
R. Duparc,Usfsa,FRA,Summer,1900,Paris,Football,Football Men'S Football,Silver
"Christopher David ""Chris"" Duplanty",United States,USA,Summer,1988,Seoul,Water Polo,Water Polo Men'S Water Polo,Silver
Imke Duplitzer,Germany,GER,Summer,2004,Athina,Fencing,"Fencing Women'S Epee, Team",Silver
Jozu Dupon,Belgium,BEL,Summer,1936,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Medals",Bronze
Clment Dupont,France,FRA,Summer,1924,Paris,Rugby,Rugby Men'S Rugby,Silver
Mile Leon Jacques Dupont,Belgium,BEL,Summer,1920,Antwerpen,Shooting,"Shooting Men'S Trap, Team",Silver
Jacques Dupont,France,FRA,Summer,1948,London,Cycling,"Cycling Men'S Road Race, Team",Bronze
Jacques Dupont,France,FRA,Summer,1948,London,Cycling,"Cycling Men'S 1,000 Metres Time Trial",Gold
Lon Dupont,Belgium,BEL,Summer,1906,Athina,Athletics,Athletics Men'S Standing High Jump,Silver
Albert Dupouy,France,FRA,Summer,1924,Paris,Rugby,Rugby Men'S Rugby,Silver
Maryvonne Dupureur (Samson-),France,FRA,Summer,1964,Tokyo,Athletics,Athletics Women'S 800 Metres,Silver
Slam Duquiyev,Unified Team,EUN,Summer,1992,Barcelona,Wrestling,"Wrestling Men'S Lightweight, Greco-Roman",Silver
"Sarah Frances ""Fanny"" Durack (-Gately)",Australasia,ANZ,Summer,1912,Stockholm,Swimming,Swimming Women'S 100 Metres Freestyle,Gold
Osman Duraliev,Bulgaria,BUL,Summer,1968,Mexico City,Wrestling,"Wrestling Men'S Heavyweight, Freestyle",Silver
Osman Duraliev,Bulgaria,BUL,Summer,1972,Munich,Wrestling,"Wrestling Men'S Super-Heavyweight, Freestyle",Silver
Andrea Duran,United States,USA,Summer,2008,Beijing,Softball,Softball Women'S Softball,Silver
"Pierre Durand, Jr.",France,FRA,Summer,1988,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
"Pierre Durand, Jr.",France,FRA,Summer,1988,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
"Pierre Durand, Sr.",France,FRA,Summer,1960,Roma,Equestrianism,"Equestrianism Men'S Three-Day Event, Team",Bronze
Albert Paul Durant,Belgium,BEL,Summer,1912,Stockholm,Water Polo,Water Polo Men'S Water Polo,Bronze
Albert Paul Durant,Belgium,BEL,Summer,1920,Antwerpen,Water Polo,Water Polo Men'S Water Polo,Silver
Albert Paul Durant,Belgium,BEL,Summer,1924,Paris,Water Polo,Water Polo Men'S Water Polo,Silver
Hugh Durant,Great Britain,GBR,Summer,1912,Stockholm,Shooting,"Shooting Men'S Free Pistol, 50 Metres, Team",Bronze
Hugh Durant,Great Britain,GBR,Summer,1912,Stockholm,Shooting,"Shooting Men'S Dueling Pistol, 30 Metres, Team",Bronze
Kevin Wayne Durant,United States,USA,Summer,2012,London,Basketball,Basketball Men'S Basketball,Gold
Kevin Wayne Durant,United States,USA,Summer,2016,Rio De Janeiro,Basketball,Basketball Men'S Basketball,Gold
Scott David Durant,Great Britain,GBR,Summer,2016,Rio De Janeiro,Rowing,Rowing Men'S Coxed Eights,Gold
Cornel Duru,Romania,ROU,Summer,1980,Moskva,Handball,Handball Men'S Handball,Bronze
Cornel Duru,Romania,ROU,Summer,1984,Los Angeles,Handball,Handball Men'S Handball,Bronze
"Philip Marshall ""Phil"" Durbrow",United States,USA,Summer,1964,Tokyo,Rowing,Rowing Men'S Coxless Fours,Bronze
Bohumil Durdis,Czechoslovakia,TCH,Summer,1924,Paris,Weightlifting,Weightlifting Men'S Lightweight,Bronze
Ernest Dureuil,Belgium,BEL,Summer,1920,Antwerpen,Gymnastics,"Gymnastics Men'S Team All-Around, Swedish System",Bronze
Paul Joseph Durin,France,FRA,Summer,1920,Antwerpen,Gymnastics,Gymnastics Men'S Team All-Around,Bronze
Vladimir Durkovi,Yugoslavia,YUG,Summer,1960,Roma,Football,Football Men'S Football,Gold
Michael Drsch,West Germany,FRG,Summer,1984,Los Angeles,Rowing,Rowing Men'S Quadruple Sculls,Gold
Andrian Pavlov Dushev,Bulgaria,BUL,Summer,1996,Atlanta,Canoeing,"Canoeing Men'S Kayak Doubles, 1,000 Metres",Bronze
"Nathaniel James ""Nate"" Dusing",United States,USA,Summer,2000,Sydney,Swimming,Swimming Men'S 4 X 200 Metres Freestyle Relay,Silver
"Nathaniel James ""Nate"" Dusing",United States,USA,Summer,2004,Athina,Swimming,Swimming Men'S 4 X 100 Metres Freestyle Relay,Bronze
"Wilhelm ""Willy"" Dskow",Berliner Ruderclub,GER,Summer,1908,London,Rowing,Rowing Men'S Coxless Pairs,Bronze
Hasanboy Dusmatov,Uzbekistan,UZB,Summer,2016,Rio De Janeiro,Boxing,Boxing Men'S Light-Flyweight,Gold
Emile Paul Joseph Duson,Netherlands,NED,Summer,1928,Amsterdam,Hockey,Hockey Men'S Hockey,Silver
Michelle Hollis Dusserre (-Farrell),United States,USA,Summer,1984,Los Angeles,Gymnastics,Gymnastics Women'S Team All-Around,Silver
Louis Charles Marie Dutfoy,France,FRA,Summer,1900,Paris,Shooting,"Shooting Men'S Free Pistol, 50 Metres, Team",Silver
James Livingstone Duthie,Great Britain,GBR,Summer,1984,Los Angeles,Hockey,Hockey Men'S Hockey,Bronze
Keshav Chandra Dutt,India,IND,Summer,1948,London,Hockey,Hockey Men'S Hockey,Gold
Keshav Chandra Dutt,India,IND,Summer,1952,Helsinki,Hockey,Hockey Men'S Hockey,Gold
Yogeshwar Dutt,India,IND,Summer,2012,London,Wrestling,"Wrestling Men'S Lightweight, Freestyle",Bronze
Brett Allan Dutton,Australia,AUS,Summer,1988,Seoul,Cycling,"Cycling Men'S Team Pursuit, 4,000 Metres",Bronze
Eric Ogden Dutton,Great Britain,GBR,Summer,1908,London,Lacrosse,Lacrosse Men'S Lacrosse,Silver
Phillip Peter Dutton,Australia,AUS,Summer,1996,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Phillip Peter Dutton,Australia,AUS,Summer,2000,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Phillip Peter Dutton,United States,USA,Summer,2016,Rio De Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
Albert Duval,Martha,FRA,Summer,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver
Albert Duval,Martha,FRA,Summer,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
"Alfred Walter ""Alf"" Duval",Australia,AUS,Summer,1968,Mexico City,Rowing,Rowing Men'S Coxed Eights,Silver
Samuel Harding Duvall,Cincinnati Archers,USA,Summer,1904,St. Louis,Archery,Archery Men'S Team Round,Silver
Ramn Duvaln Carrin,Cuba,CUB,Summer,1976,Montreal,Boxing,Boxing Men'S Flyweight,Silver
Victor Emmanuel Duvant,France,FRA,Summer,1920,Antwerpen,Gymnastics,Gymnastics Men'S Team All-Around,Bronze
Alfredo Duvergel Adams,Cuba,CUB,Summer,1996,Atlanta,Boxing,Boxing Men'S Light-Middleweight,Silver
Giorvis Duvergel Rojas,Cuba,CUB,Summer,2008,Beijing,Baseball,Baseball Men'S Baseball,Silver
Ren Duverger,France,FRA,Summer,1932,Los Angeles,Weightlifting,Weightlifting Men'S Lightweight,Gold
Kristine Duvholt (-Havns),Norway,NOR,Summer,1992,Barcelona,Handball,Handball Women'S Handball,Silver
Kristine Duvholt (-Havns),Norway,NOR,Summer,2000,Sydney,Handball,Handball Women'S Handball,Bronze
Bernd Duvigneau,East Germany,GDR,Summer,1976,Montreal,Canoeing,"Canoeing Men'S Kayak Fours, 1,000 Metres",Bronze
Bernd Duvigneau,East Germany,GDR,Summer,1980,Moskva,Canoeing,"Canoeing Men'S Kayak Fours, 1,000 Metres",Gold
Domagoj Duvnjak,Croatia,CRO,Summer,2012,London,Handball,Handball Men'S Handball,Bronze
"Richard Lloyd ""Rich"" Duwelius",United States,USA,Summer,1984,Los Angeles,Volleyball,Volleyball Men'S Volleyball,Gold
Talant Mushanbetovich Duyshebayev,Unified Team,EUN,Summer,1992,Barcelona,Handball,Handball Men'S Handball,Gold
Talant Mushanbetovich Duyshebayev,Spain,ESP,Summer,1996,Atlanta,Handball,Handball Men'S Handball,Bronze
Talant Mushanbetovich Duyshebayev,Spain,ESP,Summer,2000,Sydney,Handball,Handball Men'S Handball,Bronze
Jeroen Tarquinis Cornelis Duyster,Netherlands,NED,Summer,1996,Atlanta,Rowing,Rowing Men'S Coxed Eights,Gold
Willemijn Margaretha Duyster,Netherlands,NED,Summer,1996,Atlanta,Hockey,Hockey Women'S Hockey,Bronze
Veselin Uho,Yugoslavia,YUG,Summer,1984,Los Angeles,Water Polo,Water Polo Men'S Water Polo,Gold
Veselin Uho,Yugoslavia,YUG,Summer,1988,Seoul,Water Polo,Water Polo Men'S Water Polo,Gold
Vera Urakovi,Yugoslavia,YUG,Summer,1980,Moskva,Basketball,Basketball Women'S Basketball,Bronze
Dragica Uri,Yugoslavia,YUG,Summer,1984,Los Angeles,Handball,Handball Women'S Handball,Gold
Ore Uri,Serbia And Montenegro,SCG,Summer,1996,Atlanta,Volleyball,Volleyball Men'S Volleyball,Bronze
Mirjana Urica,Yugoslavia,YUG,Summer,1980,Moskva,Handball,Handball Women'S Handball,Silver
Mirjana Urica,Yugoslavia,YUG,Summer,1984,Los Angeles,Handball,Handball Women'S Handball,Gold
Zorica Urkovi,Yugoslavia,YUG,Summer,1980,Moskva,Basketball,Basketball Women'S Basketball,Bronze
Valeriy Vasylovych Dvoinikov,Soviet Union,URS,Summer,1976,Montreal,Judo,Judo Men'S Middleweight,Silver
Charles Edward Dvorak,United States,USA,Summer,1904,St. Louis,Athletics,Athletics Men'S Pole Vault,Gold
"Douglas Scott ""Dusty"" Dvorak",United States,USA,Summer,1984,Los Angeles,Volleyball,Volleyball Men'S Volleyball,Gold
Tom Dvok,Czech Republic,CZE,Summer,1996,Atlanta,Athletics,Athletics Men'S Decathlon,Bronze
Ivan Vasilyevich Dvorny,Soviet Union,URS,Summer,1972,Munich,Basketball,Basketball Men'S Basketball,Gold
Conor James Dwyer,United States,USA,Summer,2012,London,Swimming,Swimming Men'S 4 X 200 Metres Freestyle Relay,Gold
Conor James Dwyer,United States,USA,Summer,2016,Rio De Janeiro,Swimming,Swimming Men'S 200 Metres Freestyle,Bronze
Conor James Dwyer,United States,USA,Summer,2016,Rio De Janeiro,Swimming,Swimming Men'S 4 X 200 Metres Freestyle Relay,Gold
Jamie Raymond Dwyer,Australia,AUS,Summer,2004,Athina,Hockey,Hockey Men'S Hockey,Gold
Jamie Raymond Dwyer,Australia,AUS,Summer,2008,Beijing,Hockey,Hockey Men'S Hockey,Bronze
Jamie Raymond Dwyer,Australia,AUS,Summer,2012,London,Hockey,Hockey Men'S Hockey,Bronze
"Patrick ""Pat"" Dwyer",Australia,AUS,Summer,2004,Athina,Athletics,Athletics Men'S 4 X 400 Metres Relay,Silver
Aleksandr Igorevich Dyachenko,Russia,RUS,Summer,2012,London,Canoeing,"Canoeing Men'S Kayak Doubles, 200 Metres",Gold
Aleksey Vladimirovich Dyachenko,Russia,RUS,Summer,2004,Athina,Fencing,"Fencing Men'S Sabre, Team",Bronze
Yekaterina Vladimirovna Dyachenko,Russia,RUS,Summer,2016,Rio De Janeiro,Fencing,"Fencing Women'S Sabre, Team",Gold
Lyubcho Stefanov Dyakov,Bulgaria,BUL,Summer,1980,Moskva,Shooting,"Shooting Mixed Free Pistol, 50 Metres",Bronze
Ivan Fyodorovich Dychko,Kazakhstan,KAZ,Summer,2012,London,Boxing,Boxing Men'S Super-Heavyweight,Bronze
