Sport,Event,Medal,Athlete,Country,Year,City,Season,NOC
Shooting,WOMEN’S 25M PISTOL,Gold,Yang Ji-in,South Korea,2024,Paris,Summer,KOR
Shooting,MEN’S SKEET,Gold,Vincent Hancock,United States,2024,Paris,Summer,USA
Swimming,MEN’S 100M BUTTERFLY,Gold,Kristof Milak,Hungary,2024,Paris,Summer,HUN
Swimming,MIXED 4X100 MEDLEY RELAY,Gold,United States,United States,2024,Paris,Summer,USA
Swimming,WOMEN’S 200M INDIVIDUAL MEDLEY,Gold,Summer McIntosh,Canada,2024,Paris,Summer,CAN
Swimming,WOMEN’S 800M FREESTYLE,Gold,Katie Ledecky,United States,2024,Paris,Summer,USA
Table Tennis,WOMEN’S SINGLES,Gold,Chen Meng,China,2024,Paris,Summer,CHN
Tennis,MEN’S DOUBLES,Gold,Matthew Ebden and John Peers,Australia,2024,Paris,Summer,ANZ
Tennis,WOMEN’S SINGLES,Gold,Zheng Qinwen,China,2024,Paris,Summer,CHN
Track And Field,MEN’S SHOTPUT,Gold,Ryan Crouser,United States,2024,Paris,Summer,USA
Track And Field,MIXED 4X400M RELAY,Gold,Netherlands,Netherlands,2024,Paris,Summer,NED
Track And Field,WOMEN’S 100M,Gold,Julien Alfred,Saint Lucia,2024,Paris,Summer,LCA
Track And Field,WOMEN’S TRIPLE JUMP,Gold,Thea LaFond,Dominica,2024,Paris,Summer,DMA
Archery,MIXED TEAM,Gold,Kim Woo-jin and Lim Si-hyeon,South Korea,2024,Paris,Summer,KOR
Badminton,MIXED DOUBLES,Gold,Zheng Siwei and Huang Ya Qiong,China,2024,Paris,Summer,CHN
Diving,MEN’S SYNCHRONIZED 3M SPRINGBOARD,Gold,Long Daoyi and Wang Zongyuan,China,2024,Paris,Summer,CHN
Cycling Bmx Racing,MEN’S,Gold,Joris Daudet,France,2024,Paris,Summer,FRA
Cycling Bmx Racing,WOMEN’S,Gold,Saya Sakakibara,Australia,2024,Paris,Summer,ANZ
Equestrian,TEAM JUMPING,Gold,Britain,Great Britain,2024,Paris,Summer,GBR
Fencing,MEN’S TEAM ÉPÉE,Gold,Hungary,Hungary,2024,Paris,Summer,HUN
Judo,MEN’S +100KG,Gold,Teddy Riner,France,2024,Paris,Summer,FRA
Judo,WOMEN’S +78KG,Gold,Beatriz Souza,Brazil,2024,Paris,Summer,BRA
Rowing,MEN’S PAIR,Gold,Martin Sinkovic and Valent Sinkovic,Croatia,2024,Paris,Summer,CRO
Rowing,MEN’S LIGHTWEIGHT DOUBLE SCULLS,Gold,Fintan McCarthy and Paul O’Donovan,Ireland,2024,Paris,Summer,IRL
Rowing,WOMEN’S PAIR,Gold,Ymkje Clevering and Veronique Meester,Netherlands,2024,Paris,Summer,NED
Rowing,WOMEN’S LIGHTWEIGHT DOUBLE SCULLS,Gold,Emily Craig and Imogen Grant,Great Britain,2024,Paris,Summer,GBR
Sailing,MEN’S SKIFF,Gold,Diego Botín and Florián Trittel,Spain,2024,Paris,Summer,ESP
Sailing,WOMEN’S SKIFF,Gold,Annette Duetz and Odile van Aanholt,Netherlands,2024,Paris,Summer,NED
Shooting,WOMEN’S 50M RIFLE 3 POSITIONS,Gold,Chiara Leone,Switzerland,2024,Paris,Summer,SUI
Swimming,MEN’S 200M INDIVIDUAL MEDLEY,Gold,Léon Marchand,France,2024,Paris,Summer,FRA
Swimming,MEN’S 50M FREESTYLE,Gold,Cameron McEvoy,Australia,2024,Paris,Summer,ANZ
Swimming,WOMEN’S 200 BACKSTROKE,Gold,Kaylee McKeown,Australia,2024,Paris,Summer,ANZ
Tennis,MIXED DOUBLES,Gold,Katerina Siniakova and Tomas Machac,Czech Republic,2024,Paris,Summer,BOH
Track And Field,"MEN’S 10,000M",Gold,Joshua Cheptegei,Uganda,2024,Paris,Summer,UGA
Trampoline,MEN’S ,Gold,Ivan Litvinovich,Belarus,2024,Paris,Summer,BLR
Trampoline,WOMEN’S,Gold,Bryony Page,Great Britain,2024,Paris,Summer,GBR
Canoe Slalom,MEN’S SINGLE KAYAK,Gold,Giovanni De Gennaro,Italy,2024,Paris,Summer,ITA
Fencing,WOMEN’S TEAM FOIL,Gold,United States,United States,2024,Paris,Summer,USA
Gymnastics,WOMEN’S ALL-AROUND,Gold,Simone Biles,United States,2024,Paris,Summer,USA
Judo,MEN’S -100KG,Gold,Zelym Kotsoiev,Azerbaijan,2024,Paris,Summer,AZE
Judo,WOMEN’S -78KG,Gold,Alice Bellandi,Italy,2024,Paris,Summer,ITA
Rowing,MEN’S DOUBLE SCULLS,Gold,Andrei-Sebastian Cornea and Marian Enache,Romania,2024,Paris,Summer,ROU
Rowing,WOMEN’S DOUBLE SCULLS,Gold,Brooke Francis and Lucy Spoors,Australia,2024,Paris,Summer,ANZ
Rowing,MEN’S FOUR,Gold,United States,United States,2024,Paris,Summer,USA
Rowing,WOMEN’S FOUR,Gold,Netherlands,Netherlands,2024,Paris,Summer,NED
Shooting,MEN’S 50M RIFLE 3 POSITIONS,Gold,Liu Yukun,China,2024,Paris,Summer,CHN
Swimming,MEN’S 200M BACKSTROKE,Gold,Hubert Kos,Hungary,2024,Paris,Summer,HUN
Swimming,WOMEN’S 200M BUTTERFLY,Gold,Summer McIntosh,Canada,2024,Paris,Summer,CAN
Swimming,WOMEN’S 200M BREASTSTROKE,Gold,Kate Douglass,United States,2024,Paris,Summer,USA
Swimming,WOMENS 4X200 FREESTYLE RELAY,Gold,Australia,Australia,2024,Paris,Summer,ANZ
Track And Field,MEN’S 20KM RACE WALK,Gold,Brian Pintado,Ecuador,2024,Paris,Summer,ECU
