Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal,Category
Joan Arlene Spillane,United States,USA,Summer,1960,Roma,Swimming,4x100m medley relay,Gold,Women
Mark Andrew Spitz,United States,USA,Summer,1968,Mexico City,Swimming,100m freestyle,Bronze,Men
Mark Andrew Spitz,United States,USA,Summer,1968,Mexico City,Swimming,4x100m freestyle relay,Gold,Men
Mark Andrew Spitz,United States,USA,Summer,1968,Mexico City,Swimming,4x200m freestyle relay,Gold,Men
Mark Andrew Spitz,United States,USA,Summer,1968,Mexico City,Swimming,100m butterfly,Silver,Men
Mark Andrew Spitz,United States,USA,Summer,1972,Munich,Swimming,100m freestyle,Gold,Men
Mark Andrew Spitz,United States,USA,Summer,1972,Munich,Swimming,200m freestyle,Gold,Men
Mark Andrew Spitz,United States,USA,Summer,1972,Munich,Swimming,4x100m freestyle relay,Gold,Men
Mark Andrew Spitz,United States,USA,Summer,1972,Munich,Swimming,4x200m freestyle relay,Gold,Men
Mark Andrew Spitz,United States,USA,Summer,1972,Munich,Swimming,100m butterfly,Gold,Men
Mark Andrew Spitz,United States,USA,Summer,1972,Munich,Swimming,200m butterfly,Gold,Men
Mark Andrew Spitz,United States,USA,Summer,1972,Munich,Swimming,4x100m medley relay,Gold,Men
Christian David Sprenger,Australia,AUS,Summer,2008,Beijing,Swimming,4x100m medley relay,Silver,Men
Christian David Sprenger,Australia,AUS,Summer,2012,London,Swimming,100m breaststroke,Silver,Men
Christian David Sprenger,Australia,AUS,Summer,2012,London,Swimming,4x100m medley relay,Bronze,Men
Nicholas Sprenger,Australia,AUS,Summer,2004,Athina,Swimming,4x200m freestyle relay,Silver,Men
Allen McIntyre Stack,United States,USA,Summer,1948,London,Swimming,100m backstroke,Gold,Men
"Michael Eugene ""Mike"" Stamm",United States,USA,Summer,1972,Munich,Swimming,100m backstroke,Silver,Men
"Michael Eugene ""Mike"" Stamm",United States,USA,Summer,1972,Munich,Swimming,200m backstroke,Silver,Men
"Michael Eugene ""Mike"" Stamm",United States,USA,Summer,1972,Munich,Swimming,4x100m medley relay,Gold,Men
Bowen Dow Stassforth,United States,USA,Summer,1952,Helsinki,Swimming,200m breaststroke,Silver,Men
Ivan Cuthbert Stedman,Australia,AUS,Summer,1920,Antwerpen,Swimming,4x200m freestyle relay,Silver,Men
Ivan Cuthbert Stedman,Australia,AUS,Summer,1924,Paris,Swimming,4x200m freestyle relay,Silver,Men
Irene Steer (-Nicholson),Great Britain,GBR,Summer,1912,Stockholm,Swimming,4x100m freestyle relay,Gold,Women
Britta Steffen,Germany,GER,Summer,2000,Sydney,Swimming,4x200m freestyle relay,Bronze,Women
Britta Steffen,Germany,GER,Summer,2008,Beijing,Swimming,50m freestyle,Gold,Women
Britta Steffen,Germany,GER,Summer,2008,Beijing,Swimming,100m freestyle,Gold,Women
Christel Steffin (-Schulz),Germany,GER,Summer,1960,Roma,Swimming,4x100m freestyle relay,Bronze,Women
Boris Steimetz,France,FRA,Summer,2008,Beijing,Swimming,4x100m freestyle relay,Silver,Men
Angela Steinbach,West Germany,FRG,Summer,1972,Munich,Swimming,4x100m freestyle relay,Bronze,Women
Klaus Steinbach,West Germany,FRG,Summer,1972,Munich,Swimming,4x200m freestyle relay,Silver,Men
Klaus Steinbach,West Germany,FRG,Summer,1976,Montreal,Swimming,4x100m medley relay,Bronze,Men
Sabine Steinbach (-Klemm),East Germany,GDR,Summer,1968,Mexico City,Swimming,400m individual medley,Bronze,Women
"Janette May ""Jenny"" Steinbeck (-Murray)",Australia,AUS,Summer,1968,Mexico City,Swimming,4x100m medley relay,Silver,Women
"Carolyn Lynne ""Carrie"" Steinseifer (-Bates)",United States,USA,Summer,1984,Los Angeles,Swimming,100m freestyle,Gold,Women
"Carolyn Lynne ""Carrie"" Steinseifer (-Bates)",United States,USA,Summer,1984,Los Angeles,Swimming,4x100m freestyle relay,Gold,Women
"Carolyn Lynne ""Carrie"" Steinseifer (-Bates)",United States,USA,Summer,1984,Los Angeles,Swimming,4x100m medley relay,Gold,Women
Manuela Stellmach (-Schubert),East Germany,GDR,Summer,1988,Seoul,Swimming,200m freestyle,Bronze,Women
Manuela Stellmach (-Schubert),East Germany,GDR,Summer,1988,Seoul,Swimming,4x100m freestyle relay,Gold,Women
Manuela Stellmach (-Schubert),East Germany,GDR,Summer,1988,Seoul,Swimming,4x100m medley relay,Gold,Women
Manuela Stellmach (-Schubert),Germany,GER,Summer,1992,Barcelona,Swimming,4x100m freestyle relay,Bronze,Women
"Marie Louise ""Marilee"" Stepan (-Wehmann)",United States,USA,Summer,1952,Helsinki,Swimming,4x100m freestyle relay,Bronze,Women
"Gillian ""Jill"" Sterkel",United States,USA,Summer,1976,Montreal,Swimming,4x100m freestyle relay,Gold,Women
"Gillian ""Jill"" Sterkel",United States,USA,Summer,1984,Los Angeles,Swimming,4x100m freestyle relay,Gold,Women
"Gillian ""Jill"" Sterkel",United States,USA,Summer,1988,Seoul,Swimming,50m freestyle,Bronze,Women
"Gillian ""Jill"" Sterkel",United States,USA,Summer,1988,Seoul,Swimming,4x100m freestyle relay,Bronze,Women
Craig Julian Stevens,Australia,AUS,Summer,2004,Athina,Swimming,4x200m freestyle relay,Silver,Men
Natalie Alwyne Steward,Great Britain,GBR,Summer,1960,Roma,Swimming,100m freestyle,Bronze,Women
Natalie Alwyne Steward,Great Britain,GBR,Summer,1960,Roma,Swimming,100m backstroke,Silver,Women
"Sarah Gillow Marshall ""Cissie"" Stewart (-Hunt)",Great Britain,GBR,Summer,1928,Amsterdam,Swimming,4x100m freestyle relay,Silver,Women
Jean Stewart (-Hurring),New Zealand,NZL,Summer,1952,Helsinki,Swimming,100m backstroke,Bronze,Women
"Melvin ""Mel"" Stewart (-Monroe)",United States,USA,Summer,1992,Barcelona,Swimming,4x200m freestyle relay,Bronze,Men
"Melvin ""Mel"" Stewart (-Monroe)",United States,USA,Summer,1992,Barcelona,Swimming,200m butterfly,Gold,Men
"Melvin ""Mel"" Stewart (-Monroe)",United States,USA,Summer,1992,Barcelona,Swimming,4x100m medley relay,Gold,Men
"Josefine ""Fini"" Sticker",Austria,AUT,Summer,1912,Stockholm,Swimming,4x100m freestyle relay,Bronze,Women
