Athlete,NOC,Year,Season,City,Sport,Event,Medal,Country
,ITA,2020,Summer,Tokyo,Athletics,"4 × 100 metres Relay, Men",Gold,Italy
,CAN,2020,Summer,Tokyo,Athletics,"4 × 100 metres Relay, Men",Silver,Canada
,CHN,2020,Summer,Tokyo,Athletics,"4 × 100 metres Relay, Men",Bronze,China
,USA,2020,Summer,Tokyo,Athletics,"4 × 400 metres Relay, Men",Gold,United States
,NED,2020,Summer,Tokyo,Athletics,"4 × 400 metres Relay, Men",Silver,Netherlands
,BOT,2020,Summer,Tokyo,Athletics,"4 × 400 metres Relay, Men",Bronze,Botswana
Massimo Stano,ITA,2020,Summer,Tokyo,Athletics,"20 kilometres Race Walk, Men",Gold,Italy
Koki Ikeda,JPN,2020,Summer,Tokyo,Athletics,"20 kilometres Race Walk, Men",Silver,Japan
Toshikazu Yamanishi,JPN,2020,Summer,Tokyo,Athletics,"20 kilometres Race Walk, Men",Bronze,Japan
Dawid Tomala,POL,2020,Summer,Tokyo,Athletics,"50 kilometres Race Walk, Men",Gold,Poland
Jonathan Hilbert,GER,2020,Summer,Tokyo,Athletics,"50 kilometres Race Walk, Men",Silver,Germany
Evan Dunfee,CAN,2020,Summer,Tokyo,Athletics,"50 kilometres Race Walk, Men",Bronze,Canada
[],,2020,Summer,Tokyo,Athletics,"High Jump, Men",Silver,
Maksim Nedasekau,BLR,2020,Summer,Tokyo,Athletics,"High Jump, Men",Bronze,Belarus
Mondo Duplantis,SWE,2020,Summer,Tokyo,Athletics,"Pole Vault, Men",Gold,Sweden
Chris Nilsen,USA,2020,Summer,Tokyo,Athletics,"Pole Vault, Men",Silver,United States
Thiago Braz,BRA,2020,Summer,Tokyo,Athletics,"Pole Vault, Men",Bronze,Brazil
Miltiadis Tentoglou,GRE,2020,Summer,Tokyo,Athletics,"Long Jump, Men",Gold,Greece
Juan Miguel Echevarría,CUB,2020,Summer,Tokyo,Athletics,"Long Jump, Men",Silver,Cuba
Maykel Massó,CUB,2020,Summer,Tokyo,Athletics,"Long Jump, Men",Bronze,Cuba
Pedro Pablo Pichardo,POR,2020,Summer,Tokyo,Athletics,"Triple Jump, Men",Gold,Portugal
Zhu Yaming,CHN,2020,Summer,Tokyo,Athletics,"Triple Jump, Men",Silver,China
