Athlete,NOC,Year,Season,City,Sport,Event,Medal,Country
Damir Martin,CRO,2020,Summer,Tokyo,Rowing,"Single Sculls, Men",Bronze,Croatia
,FRA,2020,Summer,Tokyo,Rowing,"Double Sculls, Men",Gold,France
,NED,2020,Summer,Tokyo,Rowing,"Double Sculls, Men",Silver,Netherlands
,CHN,2020,Summer,Tokyo,Rowing,"Double Sculls, Men",Bronze,China
,NED,2020,Summer,Tokyo,Rowing,"Quadruple Sculls, Men",Gold,Netherlands
,GBR,2020,Summer,Tokyo,Rowing,"Quadruple Sculls, Men",Silver,UK
,AUS,2020,Summer,Tokyo,Rowing,"Quadruple Sculls, Men",Bronze,Australia
,CRO,2020,Summer,Tokyo,Rowing,"Coxless Pairs, Men",Gold,Croatia
,ROU,2020,Summer,Tokyo,Rowing,"Coxless Pairs, Men",Silver,Romania
,DEN,2020,Summer,Tokyo,Rowing,"Coxless Pairs, Men",Bronze,Denmark
,AUS,2020,Summer,Tokyo,Rowing,"Coxless Fours, Men",Gold,Australia
,ROU,2020,Summer,Tokyo,Rowing,"Coxless Fours, Men",Silver,Romania
,ITA,2020,Summer,Tokyo,Rowing,"Coxless Fours, Men",Bronze,Italy
,NZL,2020,Summer,Tokyo,Rowing,"Eights, Men",Gold,New Zealand
,GER,2020,Summer,Tokyo,Rowing,"Eights, Men",Silver,Germany
,GBR,2020,Summer,Tokyo,Rowing,"Eights, Men",Bronze,UK
,IRL,2020,Summer,Tokyo,Rowing,"Lightweight Double Sculls, Men",Gold,Ireland
,GER,2020,Summer,Tokyo,Rowing,"Lightweight Double Sculls, Men",Silver,Germany
,ITA,2020,Summer,Tokyo,Rowing,"Lightweight Double Sculls, Men",Bronze,Italy
Emma Twigg,NZL,2020,Summer,Tokyo,Rowing,"Single Sculls, Women",Gold,New Zealand
Anna Prakaten,ROC,2020,Summer,Tokyo,Rowing,"Single Sculls, Women",Silver,Russia
Magdalena Lobnig,AUT,2020,Summer,Tokyo,Rowing,"Single Sculls, Women",Bronze,Austria
,ROU,2020,Summer,Tokyo,Rowing,"Double Sculls, Women",Gold,Romania
,NZL,2020,Summer,Tokyo,Rowing,"Double Sculls, Women",Silver,New Zealand
,NED,2020,Summer,Tokyo,Rowing,"Double Sculls, Women",Bronze,Netherlands
,CHN,2020,Summer,Tokyo,Rowing,"Quadruple Sculls, Women",Gold,China
,POL,2020,Summer,Tokyo,Rowing,"Quadruple Sculls, Women",Silver,Poland
,AUS,2020,Summer,Tokyo,Rowing,"Quadruple Sculls, Women",Bronze,Australia
,NZL,2020,Summer,Tokyo,Rowing,"Coxless Pairs, Women",Gold,New Zealand
,ROC,2020,Summer,Tokyo,Rowing,"Coxless Pairs, Women",Silver,Russia
,CAN,2020,Summer,Tokyo,Rowing,"Coxless Pairs, Women",Bronze,Canada
,AUS,2020,Summer,Tokyo,Rowing,"Coxless Fours, Women",Gold,Australia
,NED,2020,Summer,Tokyo,Rowing,"Coxless Fours, Women",Silver,Netherlands
,IRL,2020,Summer,Tokyo,Rowing,"Coxless Fours, Women",Bronze,Ireland
,CAN,2020,Summer,Tokyo,Rowing,"Eights, Women",Gold,Canada
,NZL,2020,Summer,Tokyo,Rowing,"Eights, Women",Silver,New Zealand
,CHN,2020,Summer,Tokyo,Rowing,"Eights, Women",Bronze,China
,ITA,2020,Summer,Tokyo,Rowing,"Lightweight Double Sculls, Women",Gold,Italy
,FRA,2020,Summer,Tokyo,Rowing,"Lightweight Double Sculls, Women",Silver,France
,NED,2020,Summer,Tokyo,Rowing,"Lightweight Double Sculls, Women",Bronze,Netherlands
,FIJ,2020,Summer,Tokyo,Rugby Sevens,"Rugby Sevens, Men",Gold,Fiji
,NZL,2020,Summer,Tokyo,Rugby Sevens,"Rugby Sevens, Men",Silver,New Zealand
,ARG,2020,Summer,Tokyo,Rugby Sevens,"Rugby Sevens, Men",Bronze,Argentina
,NZL,2020,Summer,Tokyo,Rugby Sevens,"Rugby Sevens, Women",Gold,New Zealand
,FRA,2020,Summer,Tokyo,Rugby Sevens,"Rugby Sevens, Women",Silver,France
,FIJ,2020,Summer,Tokyo,Rugby Sevens,"Rugby Sevens, Women",Bronze,Fiji
Kiran Badloe,NED,2020,Summer,Tokyo,Sailing,"Windsurfer, Men",Gold,Netherlands
Thomas Goyard,FRA,2020,Summer,Tokyo,Sailing,"Windsurfer, Men",Silver,France
Bi Kun,CHN,2020,Summer,Tokyo,Sailing,"Windsurfer, Men",Bronze,China
Matthew Wearn,AUS,2020,Summer,Tokyo,Sailing,"One Person Dinghy, Men",Gold,Australia
Tonči Stipanović,CRO,2020,Summer,Tokyo,Sailing,"One Person Dinghy, Men",Silver,Croatia
Hermann Tomasgaard,NOR,2020,Summer,Tokyo,Sailing,"One Person Dinghy, Men",Bronze,Norway
,AUS,2020,Summer,Tokyo,Sailing,"Two Person Dinghy, Men",Gold,Australia
,SWE,2020,Summer,Tokyo,Sailing,"Two Person Dinghy, Men",Silver,Sweden
,ESP,2020,Summer,Tokyo,Sailing,"Two Person Dinghy, Men",Bronze,Spain
,GBR,2020,Summer,Tokyo,Sailing,"Skiff, Men",Gold,UK
,NZL,2020,Summer,Tokyo,Sailing,"Skiff, Men",Silver,New Zealand
,GER,2020,Summer,Tokyo,Sailing,"Skiff, Men",Bronze,Germany
Giles Scott,GBR,2020,Summer,Tokyo,Sailing,"One Person Heavyweight Dinghy, Men",Gold,UK
Zsombor Berecz,HUN,2020,Summer,Tokyo,Sailing,"One Person Heavyweight Dinghy, Men",Silver,Hungary
Joan Cardona,ESP,2020,Summer,Tokyo,Sailing,"One Person Heavyweight Dinghy, Men",Bronze,Spain
Lu Yunxiu,CHN,2020,Summer,Tokyo,Sailing,"Windsurfer, Women",Gold,China
Charline Picon,FRA,2020,Summer,Tokyo,Sailing,"Windsurfer, Women",Silver,France
Emma Wilson,GBR,2020,Summer,Tokyo,Sailing,"Windsurfer, Women",Bronze,UK
Anne-Marie Rindom,DEN,2020,Summer,Tokyo,Sailing,"One Person Dinghy, Women",Gold,Denmark
Josefin Olsson,SWE,2020,Summer,Tokyo,Sailing,"One Person Dinghy, Women",Silver,Sweden
Marit Bouwmeester,NED,2020,Summer,Tokyo,Sailing,"One Person Dinghy, Women",Bronze,Netherlands
,GBR,2020,Summer,Tokyo,Sailing,"Two Person Dinghy, Women",Gold,UK
,POL,2020,Summer,Tokyo,Sailing,"Two Person Dinghy, Women",Silver,Poland
,FRA,2020,Summer,Tokyo,Sailing,"Two Person Dinghy, Women",Bronze,France
,BRA,2020,Summer,Tokyo,Sailing,"Skiff, Women",Gold,Brazil
,GER,2020,Summer,Tokyo,Sailing,"Skiff, Women",Silver,Germany
,NED,2020,Summer,Tokyo,Sailing,"Skiff, Women",Bronze,Netherlands
,ITA,2020,Summer,Tokyo,Sailing,"Multihull, Mixed",Gold,Italy
,GBR,2020,Summer,Tokyo,Sailing,"Multihull, Mixed",Silver,UK
,GER,2020,Summer,Tokyo,Sailing,"Multihull, Mixed",Bronze,Germany
Javad Foroughi,IRI,2020,Summer,Tokyo,Shooting,"Air Pistol, 10 metres, Men",Gold,Iran
Damir Mikec,SRB,2020,Summer,Tokyo,Shooting,"Air Pistol, 10 metres, Men",Silver,Serbia
Pang Wei,CHN,2020,Summer,Tokyo,Shooting,"Air Pistol, 10 metres, Men",Bronze,China
Jean Quiquampoix,FRA,2020,Summer,Tokyo,Shooting,"Rapid-Fire Pistol, 25 metres, Men",Gold,France
Leuris Pupo,CUB,2020,Summer,Tokyo,Shooting,"Rapid-Fire Pistol, 25 metres, Men",Silver,Cuba
Li Yuehong,CHN,2020,Summer,Tokyo,Shooting,"Rapid-Fire Pistol, 25 metres, Men",Bronze,China
Will Shaner,USA,2020,Summer,Tokyo,Shooting,"Air Rifle, 10 metres, Men",Gold,United States
Sheng Lihao,CHN,2020,Summer,Tokyo,Shooting,"Air Rifle, 10 metres, Men",Silver,China
Yang Haoran,CHN,2020,Summer,Tokyo,Shooting,"Air Rifle, 10 metres, Men",Bronze,China
Zhang Changhong,CHN,2020,Summer,Tokyo,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men",Gold,China
Sergey Kamensky,ROC,2020,Summer,Tokyo,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men",Silver,Russia
Milenko Sebić,SRB,2020,Summer,Tokyo,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men",Bronze,Serbia
Jiří Lipták,CZE,2020,Summer,Tokyo,Shooting,"Trap, Men",Gold,Czech Republic
David Kostelecký,CZE,2020,Summer,Tokyo,Shooting,"Trap, Men",Silver,Czech Republic
Matthew Coward-Holley,GBR,2020,Summer,Tokyo,Shooting,"Trap, Men",Bronze,UK
Vincent Hancock,USA,2020,Summer,Tokyo,Shooting,"Skeet, Men",Gold,United States
Jesper Hansen,DEN,2020,Summer,Tokyo,Shooting,"Skeet, Men",Silver,Denmark
Abdullah Al-Rashidi,KUW,2020,Summer,Tokyo,Shooting,"Skeet, Men",Bronze,Kuwait
Vitalina Batsarashkina,ROC,2020,Summer,Tokyo,Shooting,"Air Pistol, 10 metres, Women",Gold,Russia
Antoaneta Kostadinova,BUL,2020,Summer,Tokyo,Shooting,"Air Pistol, 10 metres, Women",Silver,Bulgaria
Jiang Ranxin,CHN,2020,Summer,Tokyo,Shooting,"Air Pistol, 10 metres, Women",Bronze,China
Vitalina Batsarashkina,ROC,2020,Summer,Tokyo,Shooting,"Sporting Pistol, 25 metres, Women",Gold,Russia
Kim Min-Jeong,KOR,2020,Summer,Tokyo,Shooting,"Sporting Pistol, 25 metres, Women",Silver,South Korea
Xiao Jiaruixuan,CHN,2020,Summer,Tokyo,Shooting,"Sporting Pistol, 25 metres, Women",Bronze,China
Yang Qian,CHN,2020,Summer,Tokyo,Shooting,"Air Rifle, 10 metres, Women",Gold,China
Anastasiya Galashina,ROC,2020,Summer,Tokyo,Shooting,"Air Rifle, 10 metres, Women",Silver,Russia
Nina Christen,SUI,2020,Summer,Tokyo,Shooting,"Air Rifle, 10 metres, Women",Bronze,Switzerland
Nina Christen,SUI,2020,Summer,Tokyo,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Women",Gold,Switzerland
Yuliya Zykova,ROC,2020,Summer,Tokyo,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Women",Silver,Russia
Yuliya Karimova,ROC,2020,Summer,Tokyo,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Women",Bronze,Russia
Zuzana Rehák Štefečeková,SVK,2020,Summer,Tokyo,Shooting,"Trap, Women",Gold,Slovakia
Kayle Browning,USA,2020,Summer,Tokyo,Shooting,"Trap, Women",Silver,United States
Alessandra Perilli,SMR,2020,Summer,Tokyo,Shooting,"Trap, Women",Bronze,San Marino
Amber English,USA,2020,Summer,Tokyo,Shooting,"Skeet, Women",Gold,United States
Diana Bacosi,ITA,2020,Summer,Tokyo,Shooting,"Skeet, Women",Silver,Italy
Wei Meng,CHN,2020,Summer,Tokyo,Shooting,"Skeet, Women",Bronze,China
,CHN,2020,Summer,Tokyo,Shooting,"Air Pistol, 10 metres, Team, Mixed",Gold,China
,ROC,2020,Summer,Tokyo,Shooting,"Air Pistol, 10 metres, Team, Mixed",Silver,Russia
,UKR,2020,Summer,Tokyo,Shooting,"Air Pistol, 10 metres, Team, Mixed",Bronze,Ukraine
,CHN,2020,Summer,Tokyo,Shooting,"Air Rifle, 10 metres, Team, Mixed",Gold,China
,USA,2020,Summer,Tokyo,Shooting,"Air Rifle, 10 metres, Team, Mixed",Silver,United States
,ROC,2020,Summer,Tokyo,Shooting,"Air Rifle, 10 metres, Team, Mixed",Bronze,Russia
,ESP,2020,Summer,Tokyo,Shooting,"Trap, Team, Mixed",Gold,Spain
,SMR,2020,Summer,Tokyo,Shooting,"Trap, Team, Mixed",Silver,San Marino
,USA,2020,Summer,Tokyo,Shooting,"Trap, Team, Mixed",Bronze,United States
Yuto Horigome,JPN,2020,Summer,Tokyo,Skateboarding,"Street, Men",Gold,Japan
Kelvin Hoefler,BRA,2020,Summer,Tokyo,Skateboarding,"Street, Men",Silver,Brazil
Jagger Eaton,USA,2020,Summer,Tokyo,Skateboarding,"Street, Men",Bronze,United States
Keegan Palmer,AUS,2020,Summer,Tokyo,Skateboarding,"Park, Men",Gold,Australia
Pedro Barros,BRA,2020,Summer,Tokyo,Skateboarding,"Park, Men",Silver,Brazil
Cory Juneau,USA,2020,Summer,Tokyo,Skateboarding,"Park, Men",Bronze,United States
Momiji Nishiya,JPN,2020,Summer,Tokyo,Skateboarding,"Street, Women",Gold,Japan
Rayssa Leal,BRA,2020,Summer,Tokyo,Skateboarding,"Street, Women",Silver,Brazil
Funa Nakayama,JPN,2020,Summer,Tokyo,Skateboarding,"Street, Women",Bronze,Japan
Sakura Yosozumi,JPN,2020,Summer,Tokyo,Skateboarding,"Park, Women",Gold,Japan
Kokona Hiraki,JPN,2020,Summer,Tokyo,Skateboarding,"Park, Women",Silver,Japan
Sky Brown,GBR,2020,Summer,Tokyo,Skateboarding,"Park, Women",Bronze,UK
,JPN,2020,Summer,Tokyo,Softball,"Softball, Women",Gold,Japan
,USA,2020,Summer,Tokyo,Softball,"Softball, Women",Silver,United States
,CAN,2020,Summer,Tokyo,Softball,"Softball, Women",Bronze,Canada
Alberto Ginés,ESP,2020,Summer,Tokyo,Sport Climbing,"Combined, Men",Gold,Spain
Nathaniel Coleman,USA,2020,Summer,Tokyo,Sport Climbing,"Combined, Men",Silver,United States
Jakob Schubert,AUT,2020,Summer,Tokyo,Sport Climbing,"Combined, Men",Bronze,Austria
Janja Garnbret,SLO,2020,Summer,Tokyo,Sport Climbing,"Combined, Women",Gold,Slovenia
Miho Nonaka,JPN,2020,Summer,Tokyo,Sport Climbing,"Combined, Women",Silver,Japan
Akiyo Noguchi,JPN,2020,Summer,Tokyo,Sport Climbing,"Combined, Women",Bronze,Japan
Ítalo Ferreira,BRA,2020,Summer,Tokyo,Surfing,"Shortboard, Men",Gold,Brazil
Kanoa Igarashi,JPN,2020,Summer,Tokyo,Surfing,"Shortboard, Men",Silver,Japan
Owen Wright,AUS,2020,Summer,Tokyo,Surfing,"Shortboard, Men",Bronze,Australia
Carissa Moore,USA,2020,Summer,Tokyo,Surfing,"Shortboard, Women",Gold,United States
Bianca Buitendag,RSA,2020,Summer,Tokyo,Surfing,"Shortboard, Women",Silver,South Africa
Amuro Tsuzuki,JPN,2020,Summer,Tokyo,Surfing,"Shortboard, Women",Bronze,Japan
Caeleb Dressel,USA,2020,Summer,Tokyo,Swimming,"50 metres Freestyle, Men",Gold,United States
Florent Manaudou,FRA,2020,Summer,Tokyo,Swimming,"50 metres Freestyle, Men",Silver,France
Bruno Fratus,BRA,2020,Summer,Tokyo,Swimming,"50 metres Freestyle, Men",Bronze,Brazil
Caeleb Dressel,USA,2020,Summer,Tokyo,Swimming,"100 metres Freestyle, Men",Gold,United States
Kyle Chalmers,AUS,2020,Summer,Tokyo,Swimming,"100 metres Freestyle, Men",Silver,Australia
Kliment Kolesnikov,ROC,2020,Summer,Tokyo,Swimming,"100 metres Freestyle, Men",Bronze,Russia
Tom Dean,GBR,2020,Summer,Tokyo,Swimming,"200 metres Freestyle, Men",Gold,UK
Duncan Scott,GBR,2020,Summer,Tokyo,Swimming,"200 metres Freestyle, Men",Silver,UK
Fernando Scheffer,BRA,2020,Summer,Tokyo,Swimming,"200 metres Freestyle, Men",Bronze,Brazil
Ahmed Hafnaoui,TUN,2020,Summer,Tokyo,Swimming,"400 metres Freestyle, Men",Gold,Tunisia
Jack McLoughlin,AUS,2020,Summer,Tokyo,Swimming,"400 metres Freestyle, Men",Silver,Australia
Kieran Smith,USA,2020,Summer,Tokyo,Swimming,"400 metres Freestyle, Men",Bronze,United States
Bobby Finke,USA,2020,Summer,Tokyo,Swimming,"800 metres Freestyle, Men",Gold,United States
Gregorio Paltrinieri,ITA,2020,Summer,Tokyo,Swimming,"800 metres Freestyle, Men",Silver,Italy
Mykhailo Romanchuk,UKR,2020,Summer,Tokyo,Swimming,"800 metres Freestyle, Men",Bronze,Ukraine
Bobby Finke,USA,2020,Summer,Tokyo,Swimming,"1,500 metres Freestyle, Men",Gold,United States
Mykhailo Romanchuk,UKR,2020,Summer,Tokyo,Swimming,"1,500 metres Freestyle, Men",Silver,Ukraine
Florian Wellbrock,GER,2020,Summer,Tokyo,Swimming,"1,500 metres Freestyle, Men",Bronze,Germany
,USA,2020,Summer,Tokyo,Swimming,"4 × 100 metres Freestyle Relay, Men",Gold,United States
,ITA,2020,Summer,Tokyo,Swimming,"4 × 100 metres Freestyle Relay, Men",Silver,Italy
,AUS,2020,Summer,Tokyo,Swimming,"4 × 100 metres Freestyle Relay, Men",Bronze,Australia
,GBR,2020,Summer,Tokyo,Swimming,"4 × 200 metres Freestyle Relay, Men",Gold,UK
,ROC,2020,Summer,Tokyo,Swimming,"4 × 200 metres Freestyle Relay, Men",Silver,Russia
,AUS,2020,Summer,Tokyo,Swimming,"4 × 200 metres Freestyle Relay, Men",Bronze,Australia
Yevgeny Rylov,ROC,2020,Summer,Tokyo,Swimming,"100 metres Backstroke, Men",Gold,Russia
Kliment Kolesnikov,ROC,2020,Summer,Tokyo,Swimming,"100 metres Backstroke, Men",Silver,Russia
Ryan Murphy,USA,2020,Summer,Tokyo,Swimming,"100 metres Backstroke, Men",Bronze,United States
Yevgeny Rylov,ROC,2020,Summer,Tokyo,Swimming,"200 metres Backstroke, Men",Gold,Russia
Ryan Murphy,USA,2020,Summer,Tokyo,Swimming,"200 metres Backstroke, Men",Silver,United States
Luke Greenbank,GBR,2020,Summer,Tokyo,Swimming,"200 metres Backstroke, Men",Bronze,UK
Adam Peaty,GBR,2020,Summer,Tokyo,Swimming,"100 metres Breaststroke, Men",Gold,UK
Arno Kamminga,NED,2020,Summer,Tokyo,Swimming,"100 metres Breaststroke, Men",Silver,Netherlands
Nicolò Martinenghi,ITA,2020,Summer,Tokyo,Swimming,"100 metres Breaststroke, Men",Bronze,Italy
Zac Stubblety-Cook,AUS,2020,Summer,Tokyo,Swimming,"200 metres Breaststroke, Men",Gold,Australia
Arno Kamminga,NED,2020,Summer,Tokyo,Swimming,"200 metres Breaststroke, Men",Silver,Netherlands
Matti Mattsson,FIN,2020,Summer,Tokyo,Swimming,"200 metres Breaststroke, Men",Bronze,Finland
Caeleb Dressel,USA,2020,Summer,Tokyo,Swimming,"100 metres Butterfly, Men",Gold,United States
Kristóf Milák,HUN,2020,Summer,Tokyo,Swimming,"100 metres Butterfly, Men",Silver,Hungary
Noè Ponti,SUI,2020,Summer,Tokyo,Swimming,"100 metres Butterfly, Men",Bronze,Switzerland
Kristóf Milák,HUN,2020,Summer,Tokyo,Swimming,"200 metres Butterfly, Men",Gold,Hungary
Tomoru Honda,JPN,2020,Summer,Tokyo,Swimming,"200 metres Butterfly, Men",Silver,Japan
Federico Burdisso,ITA,2020,Summer,Tokyo,Swimming,"200 metres Butterfly, Men",Bronze,Italy
Wang Shun,CHN,2020,Summer,Tokyo,Swimming,"200 metres Individual Medley, Men",Gold,China
Duncan Scott,GBR,2020,Summer,Tokyo,Swimming,"200 metres Individual Medley, Men",Silver,UK
Jérémy Desplanches,SUI,2020,Summer,Tokyo,Swimming,"200 metres Individual Medley, Men",Bronze,Switzerland
Chase Kalisz,USA,2020,Summer,Tokyo,Swimming,"400 metres Individual Medley, Men",Gold,United States
Jay Litherland,USA,2020,Summer,Tokyo,Swimming,"400 metres Individual Medley, Men",Silver,United States
Brendon Smith,AUS,2020,Summer,Tokyo,Swimming,"400 metres Individual Medley, Men",Bronze,Australia
,USA,2020,Summer,Tokyo,Swimming,"4 × 100 metres Medley Relay, Men",Gold,United States
,GBR,2020,Summer,Tokyo,Swimming,"4 × 100 metres Medley Relay, Men",Silver,UK
,ITA,2020,Summer,Tokyo,Swimming,"4 × 100 metres Medley Relay, Men",Bronze,Italy
Emma McKeon,AUS,2020,Summer,Tokyo,Swimming,"50 metres Freestyle, Women",Gold,Australia
Sarah Sjöström,SWE,2020,Summer,Tokyo,Swimming,"50 metres Freestyle, Women",Silver,Sweden
Pernille Blume,DEN,2020,Summer,Tokyo,Swimming,"50 metres Freestyle, Women",Bronze,Denmark
Emma McKeon,AUS,2020,Summer,Tokyo,Swimming,"100 metres Freestyle, Women",Gold,Australia
Siobhán Haughey,HKG,2020,Summer,Tokyo,Swimming,"100 metres Freestyle, Women",Silver,China
Cate Campbell,AUS,2020,Summer,Tokyo,Swimming,"100 metres Freestyle, Women",Bronze,Australia
Ariarne Titmus,AUS,2020,Summer,Tokyo,Swimming,"200 metres Freestyle, Women",Gold,Australia
Siobhán Haughey,HKG,2020,Summer,Tokyo,Swimming,"200 metres Freestyle, Women",Silver,China
Penny Oleksiak,CAN,2020,Summer,Tokyo,Swimming,"200 metres Freestyle, Women",Bronze,Canada
Ariarne Titmus,AUS,2020,Summer,Tokyo,Swimming,"400 metres Freestyle, Women",Gold,Australia
Katie Ledecky,USA,2020,Summer,Tokyo,Swimming,"400 metres Freestyle, Women",Silver,United States
Li Bingjie,CHN,2020,Summer,Tokyo,Swimming,"400 metres Freestyle, Women",Bronze,China
Katie Ledecky,USA,2020,Summer,Tokyo,Swimming,"800 metres Freestyle, Women",Gold,United States
Ariarne Titmus,AUS,2020,Summer,Tokyo,Swimming,"800 metres Freestyle, Women",Silver,Australia
Simona Quadarella,ITA,2020,Summer,Tokyo,Swimming,"800 metres Freestyle, Women",Bronze,Italy
Katie Ledecky,USA,2020,Summer,Tokyo,Swimming,"1,500 metres Freestyle, Women",Gold,United States
Erica Sullivan,USA,2020,Summer,Tokyo,Swimming,"1,500 metres Freestyle, Women",Silver,United States
Sarah Köhler,GER,2020,Summer,Tokyo,Swimming,"1,500 metres Freestyle, Women",Bronze,Germany
,AUS,2020,Summer,Tokyo,Swimming,"4 × 100 metres Freestyle Relay, Women",Gold,Australia
,CAN,2020,Summer,Tokyo,Swimming,"4 × 100 metres Freestyle Relay, Women",Silver,Canada
,USA,2020,Summer,Tokyo,Swimming,"4 × 100 metres Freestyle Relay, Women",Bronze,United States
,CHN,2020,Summer,Tokyo,Swimming,"4 × 200 metres Freestyle Relay, Women",Gold,China
,USA,2020,Summer,Tokyo,Swimming,"4 × 200 metres Freestyle Relay, Women",Silver,United States
,AUS,2020,Summer,Tokyo,Swimming,"4 × 200 metres Freestyle Relay, Women",Bronze,Australia
Kaylee McKeown,AUS,2020,Summer,Tokyo,Swimming,"100 metres Backstroke, Women",Gold,Australia
Kylie Masse,CAN,2020,Summer,Tokyo,Swimming,"100 metres Backstroke, Women",Silver,Canada
Regan Smith,USA,2020,Summer,Tokyo,Swimming,"100 metres Backstroke, Women",Bronze,United States
Kaylee McKeown,AUS,2020,Summer,Tokyo,Swimming,"200 metres Backstroke, Women",Gold,Australia
Kylie Masse,CAN,2020,Summer,Tokyo,Swimming,"200 metres Backstroke, Women",Silver,Canada
Emily Seebohm,AUS,2020,Summer,Tokyo,Swimming,"200 metres Backstroke, Women",Bronze,Australia
Lydia Jacoby,USA,2020,Summer,Tokyo,Swimming,"100 metres Breaststroke, Women",Gold,United States
Tatjana Schoenmaker,RSA,2020,Summer,Tokyo,Swimming,"100 metres Breaststroke, Women",Silver,South Africa
Lilly King,USA,2020,Summer,Tokyo,Swimming,"100 metres Breaststroke, Women",Bronze,United States
Tatjana Schoenmaker,RSA,2020,Summer,Tokyo,Swimming,"200 metres Breaststroke, Women",Gold,South Africa
Lilly King,USA,2020,Summer,Tokyo,Swimming,"200 metres Breaststroke, Women",Silver,United States
Annie Lazor,USA,2020,Summer,Tokyo,Swimming,"200 metres Breaststroke, Women",Bronze,United States
Maggie Mac Neil,CAN,2020,Summer,Tokyo,Swimming,"100 metres Butterfly, Women",Gold,Canada
Zhang Yufei,CHN,2020,Summer,Tokyo,Swimming,"100 metres Butterfly, Women",Silver,China
Emma McKeon,AUS,2020,Summer,Tokyo,Swimming,"100 metres Butterfly, Women",Bronze,Australia
Zhang Yufei,CHN,2020,Summer,Tokyo,Swimming,"200 metres Butterfly, Women",Gold,China
Regan Smith,USA,2020,Summer,Tokyo,Swimming,"200 metres Butterfly, Women",Silver,United States
Hali Flickinger,USA,2020,Summer,Tokyo,Swimming,"200 metres Butterfly, Women",Bronze,United States
Yui Ohashi,JPN,2020,Summer,Tokyo,Swimming,"200 metres Individual Medley, Women",Gold,Japan
Alex Walsh,USA,2020,Summer,Tokyo,Swimming,"200 metres Individual Medley, Women",Silver,United States
Kate Douglass,USA,2020,Summer,Tokyo,Swimming,"200 metres Individual Medley, Women",Bronze,United States
Yui Ohashi,JPN,2020,Summer,Tokyo,Swimming,"400 metres Individual Medley, Women",Gold,Japan
Emma Weyant,USA,2020,Summer,Tokyo,Swimming,"400 metres Individual Medley, Women",Silver,United States
Hali Flickinger,USA,2020,Summer,Tokyo,Swimming,"400 metres Individual Medley, Women",Bronze,United States
,AUS,2020,Summer,Tokyo,Swimming,"4 × 100 metres Medley Relay, Women",Gold,Australia
,USA,2020,Summer,Tokyo,Swimming,"4 × 100 metres Medley Relay, Women",Silver,United States
,CAN,2020,Summer,Tokyo,Swimming,"4 × 100 metres Medley Relay, Women",Bronze,Canada
,GBR,2020,Summer,Tokyo,Swimming,"4 × 100 metres Medley Relay, Mixed",Gold,UK
,CHN,2020,Summer,Tokyo,Swimming,"4 × 100 metres Medley Relay, Mixed",Silver,China
,AUS,2020,Summer,Tokyo,Swimming,"4 × 100 metres Medley Relay, Mixed",Bronze,Australia
Ma Long,CHN,2020,Summer,Tokyo,Table Tennis,"Singles, Men",Gold,China
Fan Zhendong,CHN,2020,Summer,Tokyo,Table Tennis,"Singles, Men",Silver,China
Dimitrij Ovtcharov,GER,2020,Summer,Tokyo,Table Tennis,"Singles, Men",Bronze,Germany
,CHN,2020,Summer,Tokyo,Table Tennis,"Team, Men",Gold,China
,GER,2020,Summer,Tokyo,Table Tennis,"Team, Men",Silver,Germany
,JPN,2020,Summer,Tokyo,Table Tennis,"Team, Men",Bronze,Japan
Chen Meng,CHN,2020,Summer,Tokyo,Table Tennis,"Singles, Women",Gold,China
Sun Yingsha,CHN,2020,Summer,Tokyo,Table Tennis,"Singles, Women",Silver,China
Mima Ito,JPN,2020,Summer,Tokyo,Table Tennis,"Singles, Women",Bronze,Japan
,CHN,2020,Summer,Tokyo,Table Tennis,"Team, Women",Gold,China
,JPN,2020,Summer,Tokyo,Table Tennis,"Team, Women",Silver,Japan
,HKG,2020,Summer,Tokyo,Table Tennis,"Team, Women",Bronze,China
,JPN,2020,Summer,Tokyo,Table Tennis,"Doubles, Mixed",Gold,Japan
,CHN,2020,Summer,Tokyo,Table Tennis,"Doubles, Mixed",Silver,China
,TPE,2020,Summer,Tokyo,Table Tennis,"Doubles, Mixed",Bronze,Taiwan
Vito Dell'Aquila,ITA,2020,Summer,Tokyo,Taekwondo,"Flyweight, Men",Gold,Italy
Mohamed Khalil Jendoubi,TUN,2020,Summer,Tokyo,Taekwondo,"Flyweight, Men",Silver,Tunisia
Ulugbek Rashitov,UZB,2020,Summer,Tokyo,Taekwondo,"Featherweight, Men",Gold,Uzbekistan
Bradly Sinden,GBR,2020,Summer,Tokyo,Taekwondo,"Featherweight, Men",Silver,UK
Maksim Khramtsov,ROC,2020,Summer,Tokyo,Taekwondo,"Welterweight, Men",Gold,Russia
Saleh El-Sharabaty,JOR,2020,Summer,Tokyo,Taekwondo,"Welterweight, Men",Silver,Jordan
Vladislav Larin,ROC,2020,Summer,Tokyo,Taekwondo,"Heavyweight, Men",Gold,Russia
Dejan Georgievski,MKD,2020,Summer,Tokyo,Taekwondo,"Heavyweight, Men",Silver,Macedonia
