Name,Team,NOC,Season,Year,City,Sport,Event,Medal
"Ronald William ""Ron"" Clarke",Australia,AUS,Summer,1964,Tokyo,Athletics,"Athletics Men's 10,000 metres",Bronze
Stephen Clarke,Canada,CAN,Summer,1992,Barcelona,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Eldece Clarke-Lewis,Bahamas,BAH,Summer,1996,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Eldece Clarke-Lewis,Bahamas,BAH,Summer,2000,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Justinien Charles Xavier Clary (Bretonneau-),France,FRA,Summer,1900,Paris,Shooting,Shooting Men's Trap,Bronze
Scott Tyler Clary,United States,USA,Summer,2012,London,Swimming,Swimming Men's 200 metres Backstroke,Gold
Hugo Amadues August Clason,Erna Signe,SWE,Summer,1912,Stockholm,Sailing,Sailing Mixed 12 metres,Silver
Cludia Maria Pastor,Brazil,BRA,Summer,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
"Cludia Maria ""Cludinha"" das Neves",Brazil,BRA,Summer,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
Leslie Walter Claudius,India,IND,Summer,1948,London,Hockey,Hockey Men's Hockey,Gold
Leslie Walter Claudius,India,IND,Summer,1952,Helsinki,Hockey,Hockey Men's Hockey,Gold
Leslie Walter Claudius,India,IND,Summer,1956,Melbourne,Hockey,Hockey Men's Hockey,Gold
Leslie Walter Claudius,India,IND,Summer,1960,Roma,Hockey,Hockey Men's Hockey,Silver
Anna Stefanie Nanny Fryland Clausen (-Fryland),Denmark,DEN,Summer,1920,Antwerpen,Diving,Diving Women's Plain High,Gold
Vctor Claver Arocas,Spain,ESP,Summer,2012,London,Basketball,Basketball Men's Basketball,Silver
Vctor Claver Arocas,Spain,ESP,Summer,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
John Richard Clawson,United States,USA,Summer,1968,Mexico City,Basketball,Basketball Men's Basketball,Gold
Bryan Ezra Tsumoru Clay,United States,USA,Summer,2004,Athina,Athletics,Athletics Men's Decathlon,Silver
Bryan Ezra Tsumoru Clay,United States,USA,Summer,2008,Beijing,Athletics,Athletics Men's Decathlon,Gold
"Cassius Marcellus Clay, Jr.",United States,USA,Summer,1960,Roma,Boxing,Boxing Men's Light-Heavyweight,Gold
John Henry Clay,Great Britain,GBR,Summer,1980,Moskva,Rowing,Rowing Men's Coxed Eights,Silver
"Jonathan Davis ""Jonny"" Clay",Great Britain,GBR,Summer,2000,Sydney,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
"William Bundu ""Will"" Claye",United States,USA,Summer,2012,London,Athletics,Athletics Men's Long Jump,Bronze
"William Bundu ""Will"" Claye",United States,USA,Summer,2012,London,Athletics,Athletics Men's Triple Jump,Silver
"William Bundu ""Will"" Claye",United States,USA,Summer,2016,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,Silver
Jacob Clear,Australia,AUS,Summer,2012,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Norman Cleaveland,United States,USA,Summer,1924,Paris,Rugby,Rugby Men's Rugby,Gold
Tammy P. Cleland-McGregor,United States,USA,Summer,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
"Elspeth Catherine Clement (Swain-, -Denning)",Australia,AUS,Summer,1988,Seoul,Hockey,Hockey Women's Hockey,Gold
Kerron Stephon Clement,United States,USA,Summer,2008,Beijing,Athletics,Athletics Men's 400 metres Hurdles,Silver
Kerron Stephon Clement,United States,USA,Summer,2008,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Kerron Stephon Clement,United States,USA,Summer,2016,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,Gold
"Ernest Albert ""Ernie"" Clements",Great Britain,GBR,Summer,1948,London,Cycling,"Cycling Men's Road Race, Team",Silver
Ejgil Becker Clemmensen,Polyteknisk Roklub-1,DEN,Summer,1912,Stockholm,Rowing,"Rowing Men's Coxed Fours, Outriggers",Bronze
Kyle Clemons,United States,USA,Summer,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
"Jonathan Thomas ""Jon"" Cleveland",Canada,CAN,Summer,1992,Barcelona,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Jules Clvenot,Libellule de Paris,FRA,Summer,1900,Paris,Water Polo,Water Polo Men's Water Polo,Bronze
Leslie Cliff (-Tindle),Canada,CAN,Summer,1972,Munich,Swimming,Swimming Women's 400 metres Individual Medley,Silver
Robert John Clift,Great Britain,GBR,Summer,1988,Seoul,Hockey,Hockey Men's Hockey,Gold
Marion Clignet,France,FRA,Summer,1996,Atlanta,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Silver
Marion Clignet,France,FRA,Summer,2000,Sydney,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Silver
Fernando Climent Huerta,Spain,ESP,Summer,1984,Los Angeles,Rowing,Rowing Men's Coxless Pairs,Silver
Lewis Clive,Great Britain,GBR,Summer,1932,Los Angeles,Rowing,Rowing Men's Coxless Pairs,Gold
Edmond Cloetens,Belgium,BEL,Summer,1920,Antwerpen,Archery,"Archery Men's Pole Archery, Large Birds, Individual",Gold
Edmond Cloetens,Belgium,BEL,Summer,1920,Antwerpen,Archery,"Archery Men's Pole Archery, Small Birds, Team",Gold
Edmond Cloetens,Belgium,BEL,Summer,1920,Antwerpen,Archery,"Archery Men's Pole Archery, Large Birds, Team",Gold
Constant Robert Cloquet,Belgium,BEL,Summer,1906,Athina,Fencing,"Fencing Men's epee, Team",Bronze
Roger Closset,France,FRA,Summer,1956,Melbourne,Fencing,"Fencing Men's Foil, Team",Silver
"Robert Lynn ""Bob"" Clotworthy",United States,USA,Summer,1952,Helsinki,Diving,Diving Men's Springboard,Bronze
"Robert Lynn ""Bob"" Clotworthy",United States,USA,Summer,1956,Melbourne,Diving,Diving Men's Springboard,Gold
"Robert ""Bobby"" Cloughen",United States,USA,Summer,1908,London,Athletics,Athletics Men's 200 metres,Silver
George Cloutier,Winnipeg Shamrocks-1,CAN,Summer,1904,St. Louis,Lacrosse,Lacrosse Men's Lacrosse,Gold
lodie Pascaline Clouvel,France,FRA,Summer,2016,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Women's Individual,Silver
Joseph Cludts,Belgium,BEL,Summer,1924,Paris,Water Polo,Water Polo Men's Water Polo,Silver
Lesaw mikiewicz,Poland,POL,Summer,1972,Munich,Football,Football Men's Football,Gold
Lesaw mikiewicz,Poland,POL,Summer,1976,Montreal,Football,Football Men's Football,Silver
Alice Marie Coachman (-Davis),United States,USA,Summer,1948,London,Athletics,Athletics Women's High Jump,Gold
Beatrice Nicoleta Coad-Claru,Romania,ROU,Summer,2000,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,Silver
Beatrice Nicoleta Coad-Claru,Romania,ROU,Summer,2000,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
Allen James Coage,United States,USA,Summer,1976,Montreal,Judo,Judo Men's Heavyweight,Bronze
Marion Janice Coakes (-Mould),Great Britain,GBR,Summer,1968,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
William Coales,Great Britain,GBR,Summer,1908,London,Athletics,"Athletics Men's 3 mile, Team",Gold
Janet Marie Cobbs (-Mulholland),United States,USA,Summer,1992,Barcelona,Volleyball,Volleyball Women's Volleyball,Bronze
Brien William Baxter Cobcroft,Australia,AUS,Summer,1968,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Miguelina Cobin Hechavarra,Cuba,CUB,Summer,1968,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Ignacio Cobos Vidal,Spain,ESP,Summer,1996,Atlanta,Hockey,Hockey Men's Hockey,Silver
Emma Jane Coburn,United States,USA,Summer,2016,Rio de Janeiro,Athletics,"Athletics Women's 3,000 metres Steeplechase",Bronze
Jean-Paul tienne Gustave Coche,France,FRA,Summer,1972,Munich,Judo,Judo Men's Middleweight,Bronze
Henri Jean Cochet,France,FRA,Summer,1924,Paris,Tennis,Tennis Men's Singles,Silver
Henri Jean Cochet,France-1,FRA,Summer,1924,Paris,Tennis,Tennis Men's Doubles,Silver
"Commodore Shelton ""Com"" Cochran",United States,USA,Summer,1924,Paris,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
"Richard Lee ""Dick"" Cochran",United States,USA,Summer,1960,Roma,Athletics,Athletics Men's Discus Throw,Bronze
Neil Cochran,Great Britain,GBR,Summer,1984,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Neil Cochran,Great Britain,GBR,Summer,1984,Los Angeles,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
"Leroy Braxton ""Roy"" Cochran",United States,USA,Summer,1948,London,Athletics,Athletics Men's 400 metres Hurdles,Gold
"Leroy Braxton ""Roy"" Cochran",United States,USA,Summer,1948,London,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Blair Onslow Cochrane,Cobweb-1,GBR,Summer,1908,London,Sailing,Sailing Mixed 8 metres,Gold
Ryan Andrew Cochrane,Canada,CAN,Summer,2008,Beijing,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Ryan Andrew Cochrane,Canada,CAN,Summer,2012,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
Karen Cockburn (-Turgeon),Canada,CAN,Summer,2000,Sydney,Trampolining,Trampolining Women's Individual,Bronze
Karen Cockburn (-Turgeon),Canada,CAN,Summer,2004,Athina,Trampolining,Trampolining Women's Individual,Silver
Karen Cockburn (-Turgeon),Canada,CAN,Summer,2008,Beijing,Trampolining,Trampolining Women's Individual,Silver
John Ashley Cockett,Great Britain,GBR,Summer,1952,Helsinki,Hockey,Hockey Men's Hockey,Bronze
Roxana Daniela Coco,Romania,ROU,Summer,2012,London,Weightlifting,Weightlifting Women's Light-Heavyweight,Silver
Roman Codreanu,Romania,ROU,Summer,1976,Montreal,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
"Sebastian Newbold ""Seb"" Coe",Great Britain,GBR,Summer,1980,Moskva,Athletics,Athletics Men's 800 metres,Silver
"Sebastian Newbold ""Seb"" Coe",Great Britain,GBR,Summer,1980,Moskva,Athletics,"Athletics Men's 1,500 metres",Gold
"Sebastian Newbold ""Seb"" Coe",Great Britain,GBR,Summer,1984,Los Angeles,Athletics,Athletics Men's 800 metres,Silver
"Sebastian Newbold ""Seb"" Coe",Great Britain,GBR,Summer,1984,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Gold
Thomas Coe,"Osborne Swimming Club, Manchester",GBR,Summer,1900,Paris,Water Polo,Water Polo Men's Water Polo,Gold
"William Wesley Coe, Jr.",United States,USA,Summer,1904,St. Louis,Athletics,Athletics Men's Shot Put,Silver
Jonathan Coeffic,France,FRA,Summer,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Bronze
Andrzej Bogdan Cofalik,Poland,POL,Summer,1996,Atlanta,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
Calvin Thomas Coffey,United States,USA,Summer,1976,Montreal,Rowing,Rowing Men's Coxless Pairs,Silver
Roy Riddell Coffin,United States,USA,Summer,1932,Los Angeles,Hockey,Hockey Men's Hockey,Bronze
"Edmund Sloane ""Tad"" Coffin",United States,USA,Summer,1976,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
"Edmund Sloane ""Tad"" Coffin",United States,USA,Summer,1976,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Corey Cogdell-Unrein,United States,USA,Summer,2008,Beijing,Shooting,Shooting Women's Trap,Bronze
Corey Cogdell-Unrein,United States,USA,Summer,2016,Rio de Janeiro,Shooting,Shooting Women's Trap,Bronze
Veronica Cogeanu-Cochela,Romania,ROU,Summer,1988,Seoul,Rowing,Rowing Women's Double Sculls,Silver
Veronica Cogeanu-Cochela,Romania,ROU,Summer,1988,Seoul,Rowing,Rowing Women's Quadruple Sculls,Bronze
Veronica Cogeanu-Cochela,Romania,ROU,Summer,1992,Barcelona,Rowing,Rowing Women's Double Sculls,Silver
Veronica Cogeanu-Cochela,Romania,ROU,Summer,1992,Barcelona,Rowing,Rowing Women's Quadruple Sculls,Silver
Veronica Cogeanu-Cochela,Romania,ROU,Summer,1996,Atlanta,Rowing,Rowing Women's Coxed Eights,Gold
Veronica Cogeanu-Cochela,Romania,ROU,Summer,2000,Sydney,Rowing,Rowing Women's Coxed Eights,Gold
Joseph Hubert Cogels,Belgium,BEL,Summer,1920,Antwerpen,Shooting,"Shooting Men's Trap, Team",Silver
Juan Lus Coghen Alberdingk-Thijm,Spain,ESP,Summer,1980,Moskva,Hockey,Hockey Men's Hockey,Silver
Mercedes Coghen Alberdingk-Thijm,Spain,ESP,Summer,1992,Barcelona,Hockey,Hockey Women's Hockey,Gold
Roxana Gabriela Cogianu,Romania,ROU,Summer,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze
Ottavio Cogliati,Italy,ITA,Summer,1960,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
"Donald Smith ""Don"" Cohan",United States,USA,Summer,1972,Munich,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Henri Cohen,Brussels Swimming and Water Polo Club,BEL,Summer,1900,Paris,Water Polo,Water Polo Men's Water Polo,Silver
Nathan Cohen,New Zealand,NZL,Summer,2012,London,Rowing,Rowing Men's Double Sculls,Gold
"Tiffany Lisa Cohen (-Adams, -Lalonde)",United States,USA,Summer,1984,Los Angeles,Swimming,Swimming Women's 400 metres Freestyle,Gold
"Tiffany Lisa Cohen (-Adams, -Lalonde)",United States,USA,Summer,1984,Los Angeles,Swimming,Swimming Women's 800 metres Freestyle,Gold
Harvey Wright Cohn,United States,USA,Summer,1908,London,Athletics,"Athletics Men's 3 mile, Team",Silver
Norman Cudworth Cohn-Armitage,United States,USA,Summer,1948,London,Fencing,"Fencing Men's Sabre, Team",Bronze
Ren Coicaud,France,FRA,Summer,1956,Melbourne,Fencing,"Fencing Men's Foil, Team",Silver
Adelina Maria Cojocariu-Bogus,Romania,ROU,Summer,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze
Christeana Cojocaru (-Matei),Romania,ROU,Summer,1984,Los Angeles,Athletics,Athletics Women's 400 metres Hurdles,Bronze
Trevor Ivan Coker,New Zealand,NZL,Summer,1972,Munich,Rowing,Rowing Men's Coxed Eights,Gold
Trevor Ivan Coker,New Zealand,NZL,Summer,1976,Montreal,Rowing,Rowing Men's Coxed Eights,Bronze
Massimo Colaci,Italy,ITA,Summer,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver
LaTasha Lavon Colander-Richardson (-Clark),United States,USA,Summer,2000,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Thibault Colard,France,FRA,Summer,2016,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Fabrice Edmond Paul Colas,France,FRA,Summer,1984,Los Angeles,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze
Paul Ren Colas,France,FRA,Summer,1908,London,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Bronze
Paul Ren Colas,France,FRA,Summer,1912,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
Paul Ren Colas,France,FRA,Summer,1912,Stockholm,Shooting,"Shooting Men's Military Rifle, Any Position, 600 metres",Gold
Paul Ren Colas,France,FRA,Summer,1924,Paris,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Silver
"Briony Christine ""Bree"" Cole",Australia,AUS,Summer,2008,Beijing,Diving,Diving Women's Synchronized Platform,Silver
"Charles ""Charlie"" Cole",United States,USA,Summer,2012,London,Rowing,Rowing Men's Coxless Fours,Bronze
"Gerrard Eugene ""Gene"" Cole",United States,USA,Summer,1952,Helsinki,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
"Stanley Clark ""Stan"" Cole",United States,USA,Summer,1972,Munich,Water Polo,Water Polo Men's Water Polo,Bronze
Warren Joseph Cole,New Zealand,NZL,Summer,1968,Mexico City,Rowing,Rowing Men's Coxed Fours,Gold
Lynn Ann Colella,United States,USA,Summer,1972,Munich,Swimming,Swimming Women's 200 metres Butterfly,Silver
"Richard Phillip ""Rick"" Colella, Jr.",United States,USA,Summer,1976,Montreal,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Georgia V. Coleman (-Gilson),United States,USA,Summer,1928,Amsterdam,Diving,Diving Women's Springboard,Bronze
Georgia V. Coleman (-Gilson),United States,USA,Summer,1928,Amsterdam,Diving,Diving Women's Platform,Silver
Georgia V. Coleman (-Gilson),United States,USA,Summer,1932,Los Angeles,Diving,Diving Women's Springboard,Gold
Georgia V. Coleman (-Gilson),United States,USA,Summer,1932,Los Angeles,Diving,Diving Women's Platform,Silver
Robert Henry Schofield Coleman,Ancora,GBR,Summer,1920,Antwerpen,Sailing,Sailing Mixed 7 metres,Gold
Antonius Theodorus Colenbrander,Netherlands,NED,Summer,1924,Paris,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
"Vernell Eufaye ""Bimbo"" Coles",United States,USA,Summer,1988,Seoul,Basketball,Basketball Men's Basketball,Bronze
Geoffrey Horsman Coles,Great Britain,GBR,Summer,1908,London,Shooting,"Shooting Men's Free Pistol, 50 yards, Team",Bronze
Giovanni Battista Coletti,Italy,ITA,Summer,1976,Montreal,Fencing,"Fencing Men's Foil, Team",Silver
Meredith Bright Colket,United States,USA,Summer,1900,Paris,Athletics,Athletics Men's Pole Vault,Silver
Daniel M. Colla,Argentina,ARG,Summer,1988,Seoul,Volleyball,Volleyball Men's Volleyball,Bronze
Jean Collas,Racing Club de France,FRA,Summer,1900,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver
Jean Collas,Union des Socits Franais de Sports Athletiques,FRA,Summer,1900,Paris,Rugby,Rugby Men's Rugby,Gold
Theodore David Anthony Collet,Great Britain,GBR,Summer,1928,Amsterdam,Rowing,Rowing Men's Single Sculls,Bronze
Wayne Curtis Collett,United States,USA,Summer,1972,Munich,Athletics,Athletics Men's 400 metres,Silver
Sven August Wilhelm Colliander,Sweden,SWE,Summer,1936,Berlin,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
Jeanne Ellen Collier (-Sitzberger),United States,USA,Summer,1964,Tokyo,Diving,Diving Women's Springboard,Silver
John Sheldon Collier,United States,USA,Summer,1928,Amsterdam,Athletics,Athletics Men's 110 metres Hurdles,Bronze
Charles Edgar Collignon,France,FRA,Summer,1908,London,Fencing,"Fencing Men's epee, Team",Gold
Albric Collin,Belgium,BEL,Summer,1920,Antwerpen,Art Competitions,Art Competitions Mixed Sculpturing,Gold
Andrea Collinelli,Italy,ITA,Summer,1996,Atlanta,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
Ross Hounsell Collinge,New Zealand,NZL,Summer,1968,Mexico City,Rowing,Rowing Men's Coxed Fours,Gold
Ross Hounsell Collinge,New Zealand,NZL,Summer,1972,Munich,Rowing,Rowing Men's Coxless Fours,Silver
Maria Consolata Collino,Italy,ITA,Summer,1976,Montreal,Fencing,"Fencing Women's Foil, Individual",Silver
Christine Smith Collins,United States,USA,Summer,2000,Sydney,Rowing,Rowing Women's Lightweight Double Sculls,Bronze
"Daniel James ""Danny"" Collins",Australia,AUS,Summer,1996,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
"Daniel James ""Danny"" Collins",Australia,AUS,Summer,2000,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
David Collins,United States,USA,Summer,1996,Atlanta,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
"Paul Douglas ""Doug"" Collins",United States,USA,Summer,1972,Munich,Basketball,Basketball Men's Basketball,Silver
Fabricio Coloccini,Argentina,ARG,Summer,2004,Athina,Football,Football Men's Football,Gold
Carlos Coloma Nicols,Spain,ESP,Summer,2016,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",Bronze
Bruna Giulia Colombetti-Peroncini,Italy,ITA,Summer,1960,Roma,Fencing,"Fencing Women's Foil, Team",Bronze
Jrgen Colombo,West Germany,FRG,Summer,1972,Munich,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Luca Colombo,Italy,ITA,Summer,1992,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Jos Colomer Rivas,Spain,ESP,Summer,1960,Roma,Hockey,Hockey Men's Hockey,Bronze
Mara Caridad Coln Ruees-Salazar,Cuba,CUB,Summer,1980,Moskva,Athletics,Athletics Women's Javelin Throw,Gold
Alva Merlin Colquhoun,Australia,AUS,Summer,1960,Roma,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Evelyn Lucy Colyer (-Munro),Great Britain-1,GBR,Summer,1924,Paris,Tennis,Tennis Women's Doubles,Bronze
Nadia Elena Comneci (-Conner),Romania,ROU,Summer,1976,Montreal,Gymnastics,Gymnastics Women's Individual All-Around,Gold
Nadia Elena Comneci (-Conner),Romania,ROU,Summer,1976,Montreal,Gymnastics,Gymnastics Women's Team All-Around,Silver
Nadia Elena Comneci (-Conner),Romania,ROU,Summer,1976,Montreal,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Nadia Elena Comneci (-Conner),Romania,ROU,Summer,1976,Montreal,Gymnastics,Gymnastics Women's Uneven Bars,Gold
Nadia Elena Comneci (-Conner),Romania,ROU,Summer,1976,Montreal,Gymnastics,Gymnastics Women's Balance Beam,Gold
Nadia Elena Comneci (-Conner),Romania,ROU,Summer,1980,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,Silver
Nadia Elena Comneci (-Conner),Romania,ROU,Summer,1980,Moskva,Gymnastics,Gymnastics Women's Team All-Around,Silver
Nadia Elena Comneci (-Conner),Romania,ROU,Summer,1980,Moskva,Gymnastics,Gymnastics Women's Floor Exercise,Gold
Nadia Elena Comneci (-Conner),Romania,ROU,Summer,1980,Moskva,Gymnastics,Gymnastics Women's Balance Beam,Gold
Gianpiero Combi,Italy,ITA,Summer,1928,Amsterdam,Football,Football Men's Football,Bronze
Adam David Commens,Australia,AUS,Summer,2000,Sydney,Hockey,Hockey Men's Hockey,Bronze
"Frederic Warren ""Ted"" Conant",Gallant,USA,Summer,1932,Los Angeles,Sailing,Sailing Mixed 6 metres,Silver
Flvio da Conceio,Brazil,BRA,Summer,1996,Atlanta,Football,Football Men's Football,Bronze
Robson Donato Conceio,Brazil,BRA,Summer,2016,Rio de Janeiro,Boxing,Boxing Men's Lightweight,Gold
"John ""Johnny"" Condon",Great Britain,GBR,Summer,1908,London,Boxing,Boxing Men's Bantamweight,Silver
Carin Alice Cone (-Vanderbush),United States,USA,Summer,1956,Melbourne,Swimming,Swimming Women's 100 metres Backstroke,Silver
"Malcolm ""Mac"" Cone",Canada,CAN,Summer,2008,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
Gary Robert Conelly,United States,USA,Summer,1972,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Gary Robert Conelly,United States,USA,Summer,1972,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Diego Confalonieri,Italy,ITA,Summer,2008,Beijing,Fencing,"Fencing Men's epee, Team",Bronze
Cong Xuedi,China,CHN,Summer,1984,Los Angeles,Basketball,Basketball Women's Basketball,Bronze
Cong Xuedi,China,CHN,Summer,1992,Barcelona,Basketball,Basketball Women's Basketball,Silver
"John ""Jack"" Conger",United States,USA,Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Michael John Conlan,Ireland,IRL,Summer,2012,London,Boxing,Boxing Men's Flyweight,Bronze
"Michael Alexander ""Mike"" Conley",United States,USA,Summer,1984,Los Angeles,Athletics,Athletics Men's Triple Jump,Silver
"Michael Alexander ""Mike"" Conley",United States,USA,Summer,1992,Barcelona,Athletics,Athletics Men's Triple Jump,Gold
Frank Arthur Connah,Wales-4,GBR,Summer,1908,London,Hockey,Hockey Men's Hockey,Bronze
"Barthold Wayne ""Bart"" Conner",United States,USA,Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Gold
"Barthold Wayne ""Bart"" Conner",United States,USA,Summer,1984,Los Angeles,Gymnastics,Gymnastics Men's Parallel Bars,Gold
Dennis Walter Conner,United States,USA,Summer,1976,Montreal,Sailing,Sailing Mixed Two Person Keelboat,Bronze
"Harold Vincent ""Hal"" Connolly",United States,USA,Summer,1956,Melbourne,Athletics,Athletics Men's Hammer Throw,Gold
James Joseph Connolly,United States,USA,Summer,1924,Paris,Athletics,"Athletics Men's 3,000 metres, Team",Bronze
James Brendan Bennet Connolly,United States,USA,Summer,1896,Athina,Athletics,Athletics Men's High Jump,Silver
James Brendan Bennet Connolly,United States,USA,Summer,1896,Athina,Athletics,Athletics Men's Long Jump,Bronze
James Brendan Bennet Connolly,United States,USA,Summer,1896,Athina,Athletics,Athletics Men's Triple Jump,Gold
James Brendan Bennet Connolly,United States,USA,Summer,1900,Paris,Athletics,Athletics Men's Triple Jump,Silver
"Thomas Francis ""Tom"" Connolly, Jr.",United States,USA,Summer,1932,Los Angeles,Gymnastics,Gymnastics Men's Rope Climbing,Bronze
"Richard Carroll ""Dick"" Connor",United States,USA,Summer,1956,Melbourne,Diving,Diving Men's Platform,Bronze
Keith Leroy Connor,Great Britain,GBR,Summer,1984,Los Angeles,Athletics,Athletics Men's Triple Jump,Bronze
Lars Conrad,Germany,GER,Summer,2004,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Reinaldo Conrad,Brazil,BRA,Summer,1968,Mexico City,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
Reinaldo Conrad,Brazil,BRA,Summer,1976,Montreal,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
John Valentine Conroy,Great Britain,GBR,Summer,1952,Helsinki,Hockey,Hockey Men's Hockey,Bronze
"Anthony Joseph ""Tony"" Conroy",United States,USA,Summer,1920,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Adolfo Consolini,Italy,ITA,Summer,1948,London,Athletics,Athletics Men's Discus Throw,Gold
Adolfo Consolini,Italy,ITA,Summer,1952,Helsinki,Athletics,Athletics Men's Discus Throw,Silver
Eugne Louis Constant,France,FRA,Summer,1924,Paris,Rowing,Rowing Men's Coxed Fours,Silver
Mariana Constantin,Romania,ROU,Summer,1976,Montreal,Gymnastics,Gymnastics Women's Team All-Around,Silver
Maria Constantinescu,Romania,ROU,Summer,1980,Moskva,Rowing,Rowing Women's Coxed Eights,Bronze
Antonio Conte,Italy,ITA,Summer,1900,Paris,Fencing,"Fencing Men's Sabre, Masters, Individual",Gold
Hugo Nstor Conte,Argentina,ARG,Summer,1988,Seoul,Volleyball,Volleyball Men's Volleyball,Bronze
Javier Alberto Conte,Argentina,ARG,Summer,2000,Sydney,Sailing,Sailing Men's Two Person Dinghy,Bronze
Luigi Contessi,Italy,ITA,Summer,1920,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Gold
Francesca Cristiana Conti,Italy,ITA,Summer,2004,Athina,Water Polo,Water Polo Women's Water Polo,Gold
Pier Angelo Conti-Manzini,Italy,ITA,Summer,1968,Mexico City,Rowing,Rowing Men's Coxless Fours,Bronze
Dalia Contreras Rivero,Venezuela,VEN,Summer,2008,Beijing,Taekwondo,Taekwondo Women's Flyweight,Bronze
