Name,Team,NOC,Season,Year,City,Sport,Event,Medal
Karen Elizabeth Marsden,Australia,AUS,Summer,1996,Atlanta,Hockey,Hockey Women's Hockey,Gold
William Baines Marsden,Great Britain,GBR,Summer,1908,London,Shooting,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",Bronze
"Edward ""Ed"" Marsh",Vesper Boat Club,USA,Summer,1900,Paris,Rowing,Rowing Men's Coxed Eights,Gold
"Michael Lawrence ""Mike"" Marsh",United States,USA,Summer,1992,Barcelona,Athletics,Athletics Men's 200 metres,Gold
"Michael Lawrence ""Mike"" Marsh",United States,USA,Summer,1992,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
"Michael Lawrence ""Mike"" Marsh",United States,USA,Summer,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Barbara Ann Marshall,United States,USA,Summer,1972,Munich,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Charles Marshall,Great Britain,GBR,Summer,1928,Amsterdam,Cycling,"Cycling Men's Road Race, Team",Silver
"Charles Richard ""Charlie"" Marshall",Cornwall,GBR,Summer,1908,London,Rugby,Rugby Men's Rugby,Silver
Christine Irene Marshall,United States,USA,Summer,2008,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
John Knox Marshall,United States,USA,Summer,1972,Munich,Sailing,Sailing Mixed Three Person Keelboat,Bronze
John Birnie Marshall,Australia,AUS,Summer,1948,London,Swimming,Swimming Men's 400 metres Freestyle,Bronze
John Birnie Marshall,Australia,AUS,Summer,1948,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
"Leonel Marshall Steward, Sr.",Cuba,CUB,Summer,1976,Montreal,Volleyball,Volleyball Men's Volleyball,Bronze
Paul Julian Marshall,Great Britain,GBR,Summer,1980,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Sante Marsili,Italy,ITA,Summer,1976,Montreal,Water Polo,Water Polo Men's Water Polo,Silver
Margot Marsman (-de Jong),Netherlands,NED,Summer,1948,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Alberto Marson,Brazil,BRA,Summer,1948,London,Basketball,Basketball Men's Basketball,Bronze
"Louis Glenn ""Lou"" Marson",United States,USA,Summer,2008,Beijing,Baseball,Baseball Men's Baseball,Bronze
Gran Simon Marstrm,Sweden,SWE,Summer,1980,Moskva,Sailing,Sailing Mixed Multihull,Bronze
Marta Vieira da Silva,Brazil,BRA,Summer,2004,Athina,Football,Football Women's Football,Silver
Marta Vieira da Silva,Brazil,BRA,Summer,2008,Beijing,Football,Football Women's Football,Silver
mile Martel,France,FRA,Summer,1920,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Adrienne Elizabeth  Martelli,United States,USA,Summer,2012,London,Rowing,Rowing Women's Quadruple Sculls,Bronze
Maritza Martn Garca,Cuba,CUB,Summer,1992,Barcelona,Athletics,Athletics Women's Discus Throw,Gold
Eckhard Martens,East Germany,GDR,Summer,1972,Munich,Rowing,Rowing Men's Coxed Fours,Silver
Hermann Martens,Germany,GER,Summer,1908,London,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",Silver
Ulla Agneta Linna Mrtensson (-Baron),Sweden,SWE,Summer,1980,Moskva,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Anders Mrtensson,Sweden,SWE,Summer,1920,Antwerpen,Equestrianism,"Equestrianism Men's Vaulting, Team",Bronze
Folke Frithiof Martens Mrtensson,Sweden,SWE,Summer,1908,London,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
George Eric McCarthy Marthins,India,IND,Summer,1928,Amsterdam,Hockey,Hockey Men's Hockey,Gold
Michal Martikn,Slovakia,SVK,Summer,1996,Atlanta,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
Michal Martikn,Slovakia,SVK,Summer,2000,Sydney,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
Michal Martikn,Slovakia,SVK,Summer,2004,Athina,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
Michal Martikn,Slovakia,SVK,Summer,2008,Beijing,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
Michal Martikn,Slovakia,SVK,Summer,2012,London,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Bronze
Albert Martin,Hera-1,GBR,Summer,1908,London,Sailing,Sailing Mixed 12 metres,Gold
"Robert Doud ""Bob"" Martin",United States,USA,Summer,1948,London,Rowing,Rowing Men's Coxed Fours,Gold
Camilla Martin (-Nygaard),Denmark,DEN,Summer,2000,Sydney,Badminton,Badminton Women's Singles,Silver
Carmen Dolores Martn Berenguer,Spain,ESP,Summer,2012,London,Handball,Handball Women's Handball,Bronze
Claude Auguste Louis Martin,France,FRA,Summer,1960,Roma,Rowing,Rowing Men's Coxed Fours,Silver
Damir Martin,Croatia,CRO,Summer,2012,London,Rowing,Rowing Men's Quadruple Sculls,Silver
Damir Martin,Croatia,CRO,Summer,2016,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Silver
"Donald ""Don"" Martin",Australia,AUS,Summer,1968,Mexico City,Hockey,Hockey Men's Hockey,Silver
Fernando Martn Espina,Spain,ESP,Summer,1984,Los Angeles,Basketball,Basketball Men's Basketball,Silver
Frank Hugo Martin,Sweden,SWE,Summer,1920,Antwerpen,Equestrianism,"Equestrianism Men's Jumping, Team",Gold
Hermann Martin,France,FRA,Summer,1906,Athina,Shooting,"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",Bronze
John Elsden Martin,Great Britain,GBR,Summer,1908,London,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Silver
LaVonna Ann Martin (-Floral),United States,USA,Summer,1992,Barcelona,Athletics,Athletics Women's 100 metres Hurdles,Silver
Leonard Jack Martin,Lalage,GBR,Summer,1936,Berlin,Sailing,Sailing Mixed 6 metres,Gold
