Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal,Category
Alice Mary Mills (-Tait),Australia,AUS,Summer,2004,Athina,Swimming,4X100M Medley Relay,Gold,Women
Alice Mary Mills (-Tait),Australia,AUS,Summer,2008,Beijing,Swimming,4X100M Freestyle Relay,Bronze,Women
"Ronald Parker ""Ronnie"" Mills",United States,USA,Summer,1968,Mexico City,Swimming,100M Backstroke,Bronze,Men
"Ronald Parker ""Ronnie"" Mills",United States,USA,Summer,1968,Mexico City,Swimming,4X100M Medley Relay,Gold,Men
Stephen Milne,Great Britain,GBR,Summer,2016,Rio De Janeiro,Swimming,4X200M Freestyle Relay,Silver,Men
Jack Rikard Milton,Sweden,SWE,Summer,1984,Los Angeles,Swimming,4X100M Freestyle Relay,Bronze,Men
Sumika Minamoto,Japan,JPN,Summer,2000,Sydney,Swimming,4X100M Medley Relay,Bronze,Women
Arsens Miskarovs,Soviet Union,URS,Summer,1980,Moskva,Swimming,100M Breaststroke,Silver,Men
Arsens Miskarovs,Soviet Union,URS,Summer,1980,Moskva,Swimming,200M Breaststroke,Bronze,Men
Arsens Miskarovs,Soviet Union,URS,Summer,1980,Moskva,Swimming,4X100M Medley Relay,Silver,Men
"Elizabeth ""Betsy"" Mitchell",United States,USA,Summer,1984,Los Angeles,Swimming,100M Backstroke,Silver,Women
"Elizabeth ""Betsy"" Mitchell",United States,USA,Summer,1984,Los Angeles,Swimming,4X100M Medley Relay,Gold,Women
"Elizabeth ""Betsy"" Mitchell",United States,USA,Summer,1988,Seoul,Swimming,4X100M Medley Relay,Silver,Women
Ryan Scott Mitchell,Australia,AUS,Summer,2000,Sydney,Swimming,4X100M Medley Relay,Silver,Men
Gyrgy Mitr,Hungary,HUN,Summer,1948,London,Swimming,1500M Freestyle,Bronze,Men
Gyrgy Mitr,Hungary,HUN,Summer,1948,London,Swimming,4X200M Freestyle Relay,Silver,Men
Junichi Miyashita,Japan,JPN,Summer,2008,Beijing,Swimming,4X100M Medley Relay,Bronze,Men
Yasuji Miyazaki,Japan,JPN,Summer,1932,Los Angeles,Swimming,100M Freestyle,Gold,Men
Yasuji Miyazaki,Japan,JPN,Summer,1932,Los Angeles,Swimming,4X200M Freestyle Relay,Gold,Men
Diana Iuliana Mocanu,Romania,ROU,Summer,2000,Sydney,Swimming,100M Backstroke,Gold,Women
Diana Iuliana Mocanu,Romania,ROU,Summer,2000,Sydney,Swimming,200M Backstroke,Gold,Women
Karen Patricia Moe-Thornton (-Humphreys),United States,USA,Summer,1972,Munich,Swimming,200M Butterfly,Gold,Women
Anke Mhring,East Germany,GDR,Summer,1988,Seoul,Swimming,400M Freestyle,Bronze,Women
John James Monckton,Australia,AUS,Summer,1956,Melbourne,Swimming,100M Backstroke,Silver,Men
"James Paul ""Jim"" Montgomery",United States,USA,Summer,1976,Montreal,Swimming,100M Freestyle,Gold,Men
"James Paul ""Jim"" Montgomery",United States,USA,Summer,1976,Montreal,Swimming,200M Freestyle,Bronze,Men
"James Paul ""Jim"" Montgomery",United States,USA,Summer,1976,Montreal,Swimming,4X200M Freestyle Relay,Gold,Men
"James Paul ""Jim"" Montgomery",United States,USA,Summer,1976,Montreal,Swimming,4X100M Medley Relay,Gold,Men
Isabella Mary Moore (-Cameron),Great Britain,GBR,Summer,1912,Stockholm,Swimming,4X100M Freestyle Relay,Gold,Women
Wayne Richard Moore,United States,USA,Summer,1952,Helsinki,Swimming,4X200M Freestyle Relay,Gold,Men
Adrian David Moorhouse,Great Britain,GBR,Summer,1988,Seoul,Swimming,100M Breaststroke,Gold,Men
"Pedro Pablo Morales, Jr.",United States,USA,Summer,1984,Los Angeles,Swimming,100M Butterfly,Silver,Men
"Pedro Pablo Morales, Jr.",United States,USA,Summer,1984,Los Angeles,Swimming,200M Individual Medley,Silver,Men
"Pedro Pablo Morales, Jr.",United States,USA,Summer,1984,Los Angeles,Swimming,4X100M Medley Relay,Gold,Men
"Pedro Pablo Morales, Jr.",United States,USA,Summer,1992,Barcelona,Swimming,100M Butterfly,Gold,Men
"Pedro Pablo Morales, Jr.",United States,USA,Summer,1992,Barcelona,Swimming,4X100M Medley Relay,Gold,Men
Karen Lynne Moras (-Stephenson),Australia,AUS,Summer,1968,Mexico City,Swimming,400M Freestyle,Bronze,Women
Martina Moravcov,Slovakia,SVK,Summer,2000,Sydney,Swimming,200M Freestyle,Silver,Women
Martina Moravcov,Slovakia,SVK,Summer,2000,Sydney,Swimming,100M Butterfly,Silver,Women
David Morgan,Australia,AUS,Summer,2016,Rio De Janeiro,Swimming,4X100M Medley Relay,Bronze,Men
Sandra Anne Morgan (-Beavis),Australia,AUS,Summer,1956,Melbourne,Swimming,4X100M Freestyle Relay,Gold,Women
Sandra Anne Morgan (-Beavis),Australia,AUS,Summer,1960,Roma,Swimming,4X100M Freestyle Relay,Silver,Women
Tomomi Morita,Japan,JPN,Summer,2004,Athina,Swimming,100M Backstroke,Bronze,Men
Tomomi Morita,Japan,JPN,Summer,2004,Athina,Swimming,4X100M Medley Relay,Bronze,Men
Vladimir Viktorovich Morozov,Russia,RUS,Summer,2012,London,Swimming,4X100M Freestyle Relay,Bronze,Men
Jay Paul Mortenson,United States,USA,Summer,1988,Seoul,Swimming,4X100M Medley Relay,Gold,Men
Lucy Morton (-Heaton),Great Britain,GBR,Summer,1924,Paris,Swimming,200M Breaststroke,Gold,Women
Alain Herms Robert Mosconi,France,FRA,Summer,1968,Mexico City,Swimming,400M Freestyle,Bronze,Men
"Glenn Edward ""Ed"" Moses",United States,USA,Summer,2000,Sydney,Swimming,100M Breaststroke,Silver,Men
"Glenn Edward ""Ed"" Moses",United States,USA,Summer,2000,Sydney,Swimming,4X100M Medley Relay,Gold,Men
Anthony Robin Leclerc Mosse,New Zealand,NZL,Summer,1988,Seoul,Swimming,200M Butterfly,Bronze,Men
Camille-Marie Manuella Muffat,France,FRA,Summer,2012,London,Swimming,200M Freestyle,Silver,Women
Camille-Marie Manuella Muffat,France,FRA,Summer,2012,London,Swimming,400M Freestyle,Gold,Women
Camille-Marie Manuella Muffat,France,FRA,Summer,2012,London,Swimming,4X200M Freestyle Relay,Bronze,Women
"Charlotte ""Lotte"" Mhe (-Eschrich)",Germany,GER,Summer,1928,Amsterdam,Swimming,200M Breaststroke,Bronze,Women
Marianne Muis,Netherlands,NED,Summer,1988,Seoul,Swimming,4X100M Freestyle Relay,Silver,Women
Mildred Muis,Netherlands,NED,Summer,1988,Seoul,Swimming,4X100M Freestyle Relay,Silver,Women
Yury Valeryevich Mukhin,Unified Team,EUN,Summer,1992,Barcelona,Swimming,4X200M Freestyle Relay,Gold,Men
"William Danforth ""Bill"" Mulliken",United States,USA,Summer,1960,Roma,Swimming,200M Breaststroke,Gold,Men
Jzsef Munk,Hungary,HUN,Summer,1908,London,Swimming,4X200M Freestyle Relay,Silver,Men
Felipe Muoz Kapamas,Mexico,MEX,Summer,1968,Mexico City,Swimming,200M Breaststroke,Gold,Men
Diana Marie Munz (-Depetro),United States,USA,Summer,2000,Sydney,Swimming,400M Freestyle,Silver,Women
Diana Marie Munz (-Depetro),United States,USA,Summer,2000,Sydney,Swimming,4X200M Freestyle Relay,Gold,Women
Diana Marie Munz (-Depetro),United States,USA,Summer,2004,Athina,Swimming,800M Freestyle,Bronze,Women
Janice Murphy,Australia,AUS,Summer,1964,Tokyo,Swimming,4X100M Freestyle Relay,Silver,Women
John Joseph Murphy,United States,USA,Summer,1972,Munich,Swimming,4X100M Freestyle Relay,Gold,Men
John Joseph Murphy,United States,USA,Summer,1972,Munich,Swimming,100M Backstroke,Bronze,Men
Patrick Murphy,Australia,AUS,Summer,2008,Beijing,Swimming,4X100M Freestyle Relay,Bronze,Men
Patrick Murphy,Australia,AUS,Summer,2008,Beijing,Swimming,4X200M Freestyle Relay,Bronze,Men
Ryan Murphy,United States,USA,Summer,2016,Rio De Janeiro,Swimming,100M Backstroke,Gold,Men
Ryan Murphy,United States,USA,Summer,2016,Rio De Janeiro,Swimming,200M Backstroke,Gold,Men
Ryan Murphy,United States,USA,Summer,2016,Rio De Janeiro,Swimming,4X100M Medley Relay,Gold,Men
Jeanette Evelyn Myburgh,South Africa,RSA,Summer,1956,Melbourne,Swimming,4X100M Freestyle Relay,Bronze,Women
Natalie Anne Myburgh (-Gillespie),South Africa,RSA,Summer,1956,Melbourne,Swimming,4X100M Freestyle Relay,Bronze,Women
Curtis Allen Myden,Canada,CAN,Summer,1996,Atlanta,Swimming,200M Individual Medley,Bronze,Men
Curtis Allen Myden,Canada,CAN,Summer,1996,Atlanta,Swimming,400M Individual Medley,Bronze,Men
Curtis Allen Myden,Canada,CAN,Summer,2000,Sydney,Swimming,400M Individual Medley,Bronze,Men
John Cary Mykkanen,United States,USA,Summer,1984,Los Angeles,Swimming,400M Freestyle,Silver,Men
